algoritmo n r res t
BTO 10 10 4 3613
BTO 10 20 5 2959
BTO 10 30 5 3851
BTO 10 40 6 5283
BTO 10 50 6 6625
BTO 10 60 6 3699
BTO 10 70 7 2345
BTO 10 80 7 3343
BTO 10 90 6 4359
BTO 10 100 7 2453
BTO 20 10 4 34126
BTO 20 20 6 66521
BTO 20 30 5 71535
BTO 20 40 6 83006
BTO 20 50 8 122071
BTO 20 60 7 99841
BTO 20 70 8 182943
BTO 20 80 10 177863
BTO 20 90 10 219351
BTO 20 100 8 450737
BTO 30 10 6 190238
BTO 30 20 5 196011
BTO 30 30 7 470597
BTO 30 40 9 1419142
BTO 30 50 8 875059
BTO 30 60 8 338051
BTO 30 70 11 5452502
BTO 30 80 10 1410767
BTO 30 90 10 7027894
BTO 30 100 9 1446037
BTO 40 10 2 32408
BTO 40 20 7 1910565
BTO 40 30 7 510975
BTO 40 40 9 4805665
BTO 40 50 7 1226582
BTO 40 60 8 9669812
BTO 40 70 8 1180447
BTO 40 80 12 8097421
BTO 40 90 11 42894136
BTO 40 100 12 16603330
BTO 50 10 5 339820
BTO 50 20 4 436537
BTO 50 30 8 1853688
BTO 50 40 9 4488185
BTO 50 50 9 3615883
BTO 50 60 9 10241071
BTO 50 70 9 10702757
BTO 50 80 14 105987589
BTO 50 90 10 29693752
BTO 50 100 12 98434551
BTO 60 10 6 222635
BTO 60 20 5 972919
BTO 60 30 11 14367324
BTO 60 40 8 5348505
BTO 60 50 9 5430180
BTO 60 60 11 8765641
BTO 60 70 11 54955922
BTO 60 80 12 206909627
BTO 60 90 11 46267011
BTO 60 100 11 116239701
BTO 70 10 4 208069
BTO 70 20 6 1985373
BTO 70 30 7 15636886
BTO 70 40 9 5572352
BTO 70 50 7 10969125
BTO 70 60 9 31826230
BTO 70 70 10 135347964
BTO 70 80 12 113842881
BTO 70 90 11 68780178
BTO 70 100 10 144619530
BTO 80 10 4 240022
BTO 80 20 8 8715133
BTO 80 30 8 6089112
BTO 80 40 10 95906217
BTO 80 50 13 190298198
BTO 80 60 10 108217080
BTO 80 70 12 95460195
BTO 80 80 14 1766304054
BTO 80 90 12 415537620
BTO 80 100 11 320985338
PD 10 10 4 8896
PD 10 20 5 9209
PD 10 30 5 13560
PD 10 40 6 9701
PD 10 50 6 14343
PD 10 60 6 11700
PD 10 70 7 12577
PD 10 80 7 11730
PD 10 90 6 12240
PD 10 100 7 17098
PD 20 10 4 8832
PD 20 20 6 13978
PD 20 30 5 12099
PD 20 40 6 14789
PD 20 50 8 14713
PD 20 60 7 15975
PD 20 70 8 18955
PD 20 80 10 19092
PD 20 90 10 20554
PD 20 100 8 23242
PD 30 10 6 12913
PD 30 20 5 20208
PD 30 30 7 21891
PD 30 40 9 24306
PD 30 50 8 25590
PD 30 60 8 22078
PD 30 70 11 32022
PD 30 80 10 31159
PD 30 90 10 37862
PD 30 100 9 34876
PD 40 10 2 15758
PD 40 20 7 21548
PD 40 30 7 27559
PD 40 40 9 40841
PD 40 50 7 44657
PD 40 60 8 44988
PD 40 70 8 44518
PD 40 80 12 51938
PD 40 90 11 51296
PD 40 100 12 52236
PD 50 10 5 36553
PD 50 20 4 33868
PD 50 30 8 50456
PD 50 40 9 58337
PD 50 50 9 58833
PD 50 60 9 62745
PD 50 70 9 65947
PD 50 80 14 77457
PD 50 90 10 126878
PD 50 100 12 136483
PD 60 10 6 28850
PD 60 20 5 31590
PD 60 30 11 42687
PD 60 40 8 51402
PD 60 50 9 120474
PD 60 60 11 59628
PD 60 70 11 87223
PD 60 80 12 77438
PD 60 90 11 106516
PD 60 100 11 126781
PD 70 10 4 44676
PD 70 20 6 57405
PD 70 30 7 75597
PD 70 40 9 84058
PD 70 50 7 96608
PD 70 60 9 105237
PD 70 70 10 111219
PD 70 80 12 145116
PD 70 90 11 137736
PD 70 100 10 155718
PD 80 10 4 61632
PD 80 20 8 42654
PD 80 30 8 59099
PD 80 40 10 68309
PD 80 50 13 74137
PD 80 60 10 82228
PD 80 70 12 93104
PD 80 80 14 103960
PD 80 90 12 108894
PD 80 100 11 107771
