n r res t
1 1 0 455
2 1 0 155
3 1 0 180
4 1 0 218
5 1 0 151
6 1 0 288
7 1 0 348
8 1 0 341
9 1 1 365
10 1 0 251
11 1 0 466
12 1 0 516
13 1 0 327
14 1 0 582
15 1 1 698
16 1 1 602
17 1 1 693
18 1 0 425
19 1 1 1104
20 1 0 825
21 1 1 1211
22 1 1 1540
23 1 0 552
24 1 1 870
25 1 0 607
26 1 1 2092
27 1 1 2057
28 1 1 854
29 1 1 736
30 1 1 1225
1 10 1 67
2 10 1 91
3 10 0 114
4 10 1 200
5 10 1 147
6 10 1 511
7 10 2 549
8 10 2 846
9 10 3 1764
10 10 2 1367
11 10 1 720
12 10 3 1878
13 10 3 1373
14 10 2 1072
15 10 2 1428
16 10 2 2694
17 10 4 3942
18 10 4 4043
19 10 3 1748
20 10 1 1423
21 10 2 3229
22 10 2 2091
23 10 4 5793
24 10 4 12593
25 10 4 11617
26 10 2 5079
27 10 2 2702
28 10 4 7841
29 10 3 13668
30 10 4 9461
1 20 1 93
2 20 2 208
3 20 1 297
4 20 2 415
5 20 2 547
6 20 1 692
7 20 1 544
8 20 2 1131
9 20 4 2403
10 20 3 2858
11 20 3 2186
12 20 2 1201
13 20 4 6879
14 20 3 4055
15 20 1 2062
16 20 2 2739
17 20 4 5142
18 20 3 6081
19 20 6 26308
20 20 4 10806
21 20 3 3792
22 20 3 11397
23 20 4 14570
24 20 2 7033
25 20 4 19140
26 20 7 77442
27 20 6 91941
28 20 5 21887
29 20 4 17398
30 20 5 28148
1 50 1 61
2 50 1 135
3 50 2 245
4 50 2 395
5 50 3 639
6 50 2 915
7 50 3 1540
8 50 4 2219
9 50 4 3609
10 50 3 3027
11 50 5 8111
12 50 5 10747
13 50 6 11370
14 50 4 13765
15 50 3 16280
16 50 6 21528
17 50 7 71741
18 50 5 63858
19 50 7 192544
20 50 6 47381
21 50 6 87913
22 50 6 48864
23 50 9 319019
24 50 5 126853
25 50 7 166733
26 50 7 595974
27 50 8 759965
28 50 6 416523
29 50 8 1016068
30 50 7 750534
1 75 1 116
2 75 2 192
3 75 2 307
4 75 3 716
5 75 3 1152
6 75 3 1077
7 75 4 3294
8 75 6 3634
9 75 4 4119
10 75 3 3566
11 75 5 7279
12 75 7 30090
13 75 3 8835
14 75 6 36439
15 75 4 28184
16 75 6 36101
17 75 6 54642
18 75 5 30786
19 75 7 120524
20 75 5 77211
21 75 8 364746
22 75 7 405952
23 75 8 163955
24 75 5 112293
25 75 7 249240
26 75 7 250466
27 75 8 404391
28 75 8 1463551
29 75 7 743457
30 75 7 646675
1 100 1 93
2 100 2 178
3 100 2 431
4 100 3 746
5 100 3 1140
6 100 4 1995
7 100 3 2227
8 100 4 4549
9 100 5 5818
10 100 3 5983
11 100 5 11263
12 100 5 23766
13 100 4 10604
14 100 6 45575
15 100 5 33073
16 100 6 77383
17 100 5 41319
18 100 7 96394
19 100 6 114381
20 100 6 216480
21 100 6 171492
22 100 6 85532
23 100 6 311408
24 100 10 1782854
25 100 7 960799
26 100 6 257335
27 100 7 478106
28 100 7 650332
29 100 9 1466295
30 100 6 857198
1 1 1 111
2 1 0 130
3 1 0 170
4 1 0 219
5 1 0 216
6 1 0 281
7 1 1 476
8 1 0 370
9 1 0 401
10 1 0 453
11 1 0 479
12 1 1 555
13 1 1 949
14 1 0 611
15 1 0 687
16 1 0 662
17 1 1 1221
18 1 0 785
19 1 1 1072
20 1 1 1461
21 1 0 860
22 1 1 1484
23 1 1 1456
24 1 1 1505
25 1 0 1076
26 1 0 1051
27 1 0 1147
28 1 1 1987
29 1 1 3522
30 1 1 1506
1 10 0 87
2 10 0 112
3 10 1 256
4 10 1 351
5 10 1 555
6 10 1 523
7 10 1 591
8 10 2 1074
9 10 2 1359
10 10 2 1377
11 10 1 1139
12 10 2 1969
13 10 3 2087
14 10 3 2094
15 10 2 1852
16 10 4 3955
17 10 3 1732
18 10 2 3723
19 10 3 5873
20 10 3 3890
21 10 2 3580
22 10 2 4538
23 10 4 6933
24 10 2 6145
25 10 3 2905
26 10 4 19101
27 10 3 6387
28 10 3 4872
29 10 2 9311
30 10 3 5929
1 20 0 79
2 20 1 178
3 20 2 323
4 20 2 335
5 20 2 553
6 20 2 714
7 20 3 1641
8 20 4 1863
9 20 3 2726
10 20 2 2773
11 20 2 1686
12 20 4 5747
13 20 3 9157
14 20 4 4741
15 20 3 5534
16 20 3 8720
17 20 3 9662
18 20 2 2781
19 20 4 25954
20 20 4 12203
21 20 5 59561
22 20 4 24824
23 20 3 13113
24 20 6 125702
25 20 4 43634
26 20 3 25165
27 20 7 55062
28 20 5 22621
29 20 5 101093
30 20 7 326764
1 50 1 97
2 50 2 183
3 50 1 345
4 50 2 655
5 50 3 1058
6 50 3 1756
7 50 3 2799
8 50 4 4174
9 50 5 10145
10 50 4 6588
11 50 3 5704
12 50 5 25657
13 50 5 17318
14 50 4 22124
15 50 4 21360
16 50 5 29818
17 50 6 56989
18 50 6 99744
19 50 6 86416
20 50 6 81520
21 50 8 246036
22 50 7 246326
23 50 8 289916
24 50 4 100028
25 50 7 599111
