n r res t
1 10 0 479
2 10 0 198
3 10 1 401
4 10 0 165
5 10 2 690
6 10 2 651
7 10 3 923
8 10 1 966
9 10 2 1938
10 10 1 614
11 10 1 921
12 10 2 2228
13 10 2 1698
14 10 2 1681
15 10 4 3287
16 10 2 2353
17 10 3 6603
18 10 2 2902
19 10 4 14240
20 10 3 4933
21 10 3 12265
22 10 3 2799
23 10 3 14648
24 10 3 12135
25 10 3 11885
26 10 5 70277
27 10 4 28616
28 10 3 15292
29 10 3 9699
30 10 4 27893
1 20 1 111
2 20 1 170
3 20 1 337
4 20 1 391
5 20 2 865
6 20 2 979
7 20 2 1034
8 20 3 2580
9 20 4 5059
10 20 3 3625
11 20 2 1660
12 20 4 7433
13 20 4 6427
14 20 4 6142
15 20 3 12662
16 20 4 9360
17 20 5 31157
18 20 4 21383
19 20 4 7638
20 20 2 10886
21 20 4 18509
22 20 3 8290
23 20 5 49783
24 20 5 86137
25 20 6 111016
26 20 4 75963
27 20 3 17830
28 20 6 101274
29 20 5 122622
30 20 5 81149
1 50 1 109
2 50 2 257
3 50 2 460
4 50 3 962
5 50 3 1485
6 50 3 2198
7 50 3 2982
8 50 4 5248
9 50 5 7789
10 50 5 20325
11 50 5 22024
12 50 3 10951
13 50 5 29701
14 50 5 37187
15 50 3 22475
16 50 3 13558
17 50 5 41897
18 50 4 40991
19 50 7 246938
20 50 6 221603
21 50 5 69279
22 50 5 112436
23 50 6 228167
24 50 5 156353
25 50 6 435849
26 50 9 1672806
27 50 8 2207924
28 50 9 1078327
29 50 5 243071
30 50 7 993956
1 75 1 110
2 75 1 158
3 75 3 414
4 75 2 692
5 75 3 1005
6 75 3 1857
7 75 3 2733
8 75 5 4341
9 75 5 7578
10 75 4 7849
11 75 5 15963
12 75 5 24884
13 75 6 31584
14 75 5 36133
15 75 4 30511
16 75 6 33040
17 75 7 99523
18 75 6 138034
19 75 7 440118
20 75 6 86898
21 75 7 226132
22 75 6 109287
23 75 9 569065
24 75 6 328220
25 75 7 331792
26 75 8 1137714
27 75 8 1632176
28 75 6 564601
29 75 8 1283200
30 75 7 1131540
1 100 1 133
2 100 2 184
3 100 2 278
4 100 3 695
5 100 3 1278
6 100 3 1088
7 100 4 3714
8 100 6 5817
9 100 4 6805
10 100 3 6078
11 100 5 8878
12 100 7 31712
13 100 3 10243
14 100 6 43239
15 100 4 28087
16 100 6 60421
17 100 6 65673
18 100 5 42793
19 100 7 177601
20 100 5 110428
21 100 8 528641
22 100 7 504214
23 100 8 279033
24 100 5 193670
25 100 7 433126
26 100 7 432594
27 100 8 701884
28 100 8 1920611
29 100 7 746223
30 100 7 646814
1 1000 1 90
2 1000 2 198
3 1000 2 276
4 1000 3 723
5 1000 3 1146
6 1000 4 1984
7 1000 3 2453
8 1000 4 4607
9 1000 5 5949
10 1000 3 6019
11 1000 5 11676
12 1000 5 23630
13 1000 4 10597
14 1000 6 45860
15 1000 5 33143
16 1000 6 76311
17 1000 5 46879
18 1000 7 98667
19 1000 6 110814
20 1000 6 135047
21 1000 6 100902
22 1000 6 53668
23 1000 6 182022
24 1000 10 1043619
25 1000 7 566278
26 1000 6 158541
27 1000 7 271453
28 1000 7 381633
29 1000 9 854513
30 1000 6 514469
1 10 1 64
2 10 0 84
3 10 2 198
4 10 1 171
5 10 0 173
6 10 1 278
7 10 2 857
8 10 1 554
9 10 2 552
10 10 1 441
11 10 2 1048
12 10 2 328
13 10 3 1288
14 10 2 994
15 10 1 1036
16 10 2 1857
17 10 3 3078
18 10 3 1997
19 10 5 7567
20 10 2 2789
21 10 2 2745
22 10 4 6113
23 10 2 2589
24 10 3 6785
25 10 2 4635
26 10 2 2478
27 10 2 3630
28 10 4 9111
29 10 4 13804
30 10 3 4123
1 20 1 59
2 20 1 109
3 20 1 128
4 20 2 318
5 20 2 543
6 20 2 461
7 20 1 598
8 20 3 999
9 20 2 1184
10 20 3 2156
11 20 3 1552
12 20 3 3168
13 20 3 4176
14 20 4 3013
15 20 3 3795
16 20 4 5277
17 20 4 1936
18 20 3 8425
19 20 4 14409
20 20 4 5971
21 20 4 6898
22 20 3 12492
23 20 5 13537
24 20 4 9951
25 20 4 10711
26 20 5 53462
27 20 4 10063
28 20 4 11673
29 20 4 23286
30 20 4 17399
1 50 1 62
2 50 2 135
3 50 3 247
4 50 3 435
5 50 3 756
6 50 3 928
7 50 5 2004
8 50 5 3637
9 50 4 3021
10 50 4 4221
11 50 4 4989
12 50 5 14751
13 50 5 16116
14 50 5 19089
15 50 5 18902
16 50 6 26929
17 50 4 25215
18 50 4 17364
19 50 5 50529
20 50 7 85133
21 50 8 252594
22 50 6 124585
23 50 5 47054
24 50 8 357970
25 50 6 110041
26 50 6 283245
27 50 9 528841
28 50 6 126936
29 50 7 248602
30 50 10 2170026
1 75 1 46
2 75 2 103
3 75 1 175
4 75 2 432
5 75 3 654
6 75 3 1069
7 75 3 1876
8 75 4 2461
9 75 5 5857
10 75 4 3992
11 75 3 3547
12 75 5 16859
13 75 6 13687
14 75 4 16517
15 75 4 20156
16 75 5 19746
17 75 6 37332
18 75 6 72437
19 75 6 51287
20 75 6 54281
21 75 8 163959
22 75 8 169307
23 75 8 193339
24 75 5 161823
25 75 7 373603
26 75 8 522727
27 75 9 646949
28 75 8 560909
29 75 7 404438
30 75 8 1187740
1 100 1 132
2 100 2 200
3 100 2 377
4 100 2 657
5 100 2 880
6 100 4 2540
7 100 4 2715
8 100 4 5068
9 100 5 7719
10 100 4 5381
11 100 5 9233
12 100 4 15901
13 100 3 6245
14 100 4 9518
15 100 5 22337
16 100 6 28897
17 100 6 62370
18 100 7 79344
19 100 5 47016
20 100 5 44339
21 100 5 30568
22 100 5 70189
