n r res t
1 1 0 400
2 1 0 210
3 1 0 187
4 1 0 232
5 1 0 276
6 1 0 302
7 1 0 223
8 1 0 379
9 1 1 381
10 1 0 517
11 1 0 314
12 1 0 585
13 1 0 390
14 1 0 622
15 1 1 784
16 1 1 1146
17 1 1 812
18 1 0 818
19 1 1 1448
20 1 0 557
21 1 1 764
22 1 1 975
23 1 0 961
24 1 1 972
25 1 0 991
26 1 1 1465
27 1 1 1312
28 1 1 908
29 1 1 832
30 1 1 1833
1 10 1 87
2 10 1 147
3 10 0 205
4 10 1 189
5 10 1 243
6 10 1 348
7 10 2 595
8 10 2 485
9 10 3 1696
10 10 2 1414
11 10 1 730
12 10 3 1396
13 10 3 1302
14 10 2 1507
15 10 2 2028
16 10 2 1961
17 10 4 3630
18 10 4 3111
19 10 3 2028
20 10 1 1562
21 10 2 4198
22 10 2 1373
23 10 4 4656
24 10 4 11348
25 10 4 9681
26 10 2 5973
27 10 2 2182
28 10 4 6704
29 10 3 14614
30 10 4 8293
1 20 1 93
2 20 2 172
3 20 1 296
4 20 2 252
5 20 2 378
6 20 1 704
7 20 1 466
8 20 2 1045
9 20 4 1972
10 20 3 2525
11 20 3 2278
12 20 2 1137
13 20 4 5726
14 20 3 3100
15 20 1 1390
16 20 2 1979
17 20 4 4472
18 20 3 6241
19 20 6 16895
20 20 4 9763
21 20 3 4481
22 20 3 10913
23 20 4 12632
24 20 2 8258
25 20 4 17241
26 20 7 56210
27 20 6 66267
28 20 5 16719
29 20 4 17647
30 20 5 24797
1 50 1 71
2 50 1 78
3 50 2 141
4 50 2 309
5 50 3 311
6 50 2 885
7 50 3 1108
8 50 4 1572
9 50 4 2359
10 50 3 2694
11 50 5 5379
12 50 5 5372
13 50 6 3503
14 50 4 11135
15 50 3 16660
16 50 6 10701
17 50 7 15981
18 50 5 39140
19 50 7 102901
20 50 6 24349
21 50 6 53884
22 50 6 24311
23 50 9 178227
24 50 5 115509
25 50 7 120430
26 50 7 284880
27 50 8 182114
28 50 6 227675
29 50 8 360352
30 50 7 365269
1 75 1 69
2 75 2 87
3 75 2 198
4 75 3 326
5 75 3 370
6 75 3 595
7 75 4 1178
8 75 6 1229
9 75 4 3010
10 75 3 4168
11 75 5 4049
12 75 7 9892
13 75 3 6101
14 75 6 15945
15 75 4 13246
16 75 6 25383
17 75 6 23592
18 75 5 18567
19 75 7 46208
20 75 5 50921
21 75 8 153543
22 75 7 175386
23 75 8 105674
24 75 5 95372
25 75 7 196668
26 75 7 164812
27 75 8 217613
28 75 8 692446
29 75 7 325186
30 75 7 285005
1 100 1 104
2 100 2 162
3 100 2 320
4 100 3 246
5 100 3 447
6 100 4 1151
7 100 3 1292
8 100 4 1327
9 100 5 2278
10 100 3 3029
11 100 5 4642
12 100 5 8741
13 100 4 6095
14 100 6 20433
15 100 5 13395
16 100 6 26285
17 100 5 18935
18 100 7 36412
19 100 6 38109
20 100 6 88598
21 100 6 65152
22 100 6 39343
23 100 6 130040
24 100 10 339600
25 100 7 383885
26 100 6 125069
27 100 7 167996
28 100 7 269296
29 100 9 372195
30 100 6 412384
1 1 1 105
2 1 0 122
3 1 0 155
4 1 0 157
5 1 0 247
6 1 0 178
7 1 1 478
8 1 0 271
9 1 0 469
10 1 0 495
11 1 0 323
12 1 1 619
13 1 1 916
14 1 0 422
15 1 0 654
16 1 0 452
17 1 1 1033
18 1 0 535
19 1 1 626
20 1 1 968
21 1 0 945
22 1 1 1413
23 1 1 864
24 1 1 986
25 1 0 1008
26 1 0 629
27 1 0 692
28 1 1 1728
29 1 1 2698
30 1 1 837
1 10 0 59
2 10 0 104
3 10 1 149
4 10 1 206
5 10 1 514
6 10 1 453
7 10 1 542
8 10 2 880
9 10 2 1609
10 10 2 1112
11 10 1 1274
12 10 2 1700
13 10 3 1233
14 10 3 1281
15 10 2 1024
16 10 4 2032
17 10 3 918
18 10 2 2386
19 10 3 3229
20 10 3 2417
21 10 2 2262
22 10 2 2823
23 10 4 3641
24 10 2 3844
25 10 3 1548
26 10 4 10644
27 10 3 3976
28 10 3 3002
29 10 2 6018
30 10 3 3535
1 20 0 61
2 20 1 91
3 20 2 217
4 20 2 204
5 20 2 303
6 20 2 365
7 20 3 705
8 20 4 866
9 20 3 1417
10 20 2 1727
11 20 2 1029
12 20 4 2283
13 20 3 4896
14 20 4 1765
15 20 3 3193
16 20 3 4771
17 20 3 5384
18 20 2 1688
19 20 4 13885
20 20 4 6040
21 20 5 25225
22 20 4 13462
23 20 3 7806
24 20 6 73551
25 20 4 31394
26 20 3 15344
27 20 7 23784
28 20 5 9719
29 20 5 57927
30 20 7 143346
1 50 1 121
2 50 2 168
3 50 1 284
4 50 2 464
5 50 3 518
6 50 3 1073
7 50 3 1260
8 50 4 1659
9 50 5 3165
10 50 4 2833
11 50 3 2967
12 50 5 10080
13 50 5 5351
14 50 4 10604
15 50 4 9568
16 50 5 11053
17 50 6 16146
18 50 6 35107
19 50 6 40440
20 50 6 46748
21 50 8 41596
22 50 7 78297
23 50 8 89043
24 50 4 55456
