n r res t
1 10 0 533
2 10 0 275
3 10 1 281
4 10 0 298
5 10 2 444
6 10 2 734
7 10 3 717
8 10 1 604
9 10 2 1881
10 10 1 578
11 10 1 1500
12 10 2 1359
13 10 2 2214
14 10 2 1576
15 10 4 2708
16 10 2 3310
17 10 3 6496
18 10 2 1801
19 10 4 6630
20 10 3 3420
21 10 3 6640
22 10 3 1829
23 10 3 8039
24 10 3 7074
25 10 3 6290
26 10 5 31544
27 10 4 14730
28 10 3 8284
29 10 3 4563
30 10 4 12242
1 20 1 120
2 20 1 178
3 20 1 249
4 20 1 326
5 20 2 586
6 20 2 558
7 20 2 518
8 20 3 1098
9 20 4 1577
10 20 3 1401
11 20 2 788
12 20 4 2162
13 20 4 2324
14 20 4 2200
15 20 3 6093
16 20 4 4023
17 20 5 11640
18 20 4 9248
19 20 4 2994
20 20 2 5789
21 20 4 8235
22 20 3 3801
23 20 5 19067
24 20 5 37716
25 20 6 34428
26 20 4 36073
27 20 3 8815
28 20 6 36004
29 20 5 54040
30 20 5 31064
1 50 1 74
2 50 2 190
3 50 2 252
4 50 3 269
5 50 3 411
6 50 3 1003
7 50 3 1016
8 50 4 1769
9 50 5 1909
10 50 5 5599
11 50 5 6462
12 50 3 4846
13 50 5 9576
14 50 5 18446
15 50 3 12858
16 50 3 9148
17 50 5 16481
18 50 4 18971
19 50 7 64351
20 50 6 70929
21 50 5 27581
22 50 5 50125
23 50 6 84942
24 50 5 80908
25 50 6 160585
26 50 9 444430
27 50 8 646183
28 50 9 214453
29 50 5 131583
30 50 7 391554
1 75 1 86
2 75 1 140
3 75 3 212
4 75 2 478
5 75 3 712
6 75 3 1187
7 75 3 1658
8 75 5 1473
9 75 5 3232
10 75 4 3977
11 75 5 5367
12 75 5 10100
13 75 6 8928
14 75 5 18640
15 75 4 14970
16 75 6 8586
17 75 7 16945
18 75 6 65723
19 75 7 137244
20 75 6 24744
21 75 7 62347
22 75 6 30124
23 75 9 146595
24 75 6 140220
25 75 7 131741
26 75 8 395832
27 75 8 392580
28 75 6 273964
29 75 8 360987
30 75 7 453771
1 100 1 80
2 100 2 105
3 100 2 134
4 100 3 187
5 100 3 519
6 100 3 870
7 100 4 1924
8 100 6 1253
9 100 4 2974
10 100 3 3096
11 100 5 2762
12 100 7 5971
13 100 3 6422
14 100 6 16272
15 100 4 18325
16 100 6 22870
17 100 6 17201
18 100 5 17923
19 100 7 45428
20 100 5 48807
21 100 8 151236
22 100 7 173098
23 100 8 85871
24 100 5 92718
25 100 7 200815
26 100 7 162627
27 100 8 209791
28 100 8 688080
29 100 7 306446
