n r res t
1 1 0 475
2 1 0 198
3 1 0 186
4 1 0 222
5 1 0 253
6 1 0 294
7 1 0 318
8 1 0 402
9 1 1 601
10 1 0 421
11 1 0 470
12 1 0 496
13 1 0 531
14 1 0 604
15 1 1 1175
16 1 1 1153
17 1 1 1314
18 1 0 736
19 1 1 2044
20 1 0 834
21 1 1 1242
22 1 1 1632
23 1 0 1015
24 1 1 1784
25 1 0 1015
26 1 1 2471
27 1 1 2001
28 1 1 1455
29 1 1 1330
30 1 1 2226
1 10 1 91
2 10 1 166
3 10 0 206
4 10 1 301
5 10 1 298
6 10 1 504
7 10 2 526
8 10 2 740
9 10 3 2556
10 10 2 1368
11 10 1 705
12 10 3 1446
13 10 3 1928
14 10 2 1678
15 10 2 2444
16 10 2 3160
17 10 4 5114
18 10 4 4929
19 10 3 2527
20 10 1 2517
21 10 2 5922
22 10 2 2217
23 10 4 6949
24 10 4 18994
25 10 4 15415
26 10 2 9214
27 10 2 3596
28 10 4 10978
29 10 3 20955
30 10 4 14243
1 20 1 104
2 20 2 242
3 20 1 332
4 20 2 273
5 20 2 359
6 20 1 667
7 20 1 585
8 20 2 1740
9 20 4 3259
10 20 3 3901
11 20 3 3015
12 20 2 1814
13 20 4 7054
14 20 3 4581
15 20 1 1436
16 20 2 2580
17 20 4 4717
18 20 3 7852
19 20 6 19895
20 20 4 28718
21 20 3 4070
22 20 3 10937
23 20 4 11975
24 20 2 7558
25 20 4 16850
26 20 7 63535
27 20 6 64281
28 20 5 16797
29 20 4 17537
30 20 5 25525
1 50 1 104
2 50 1 206
3 50 2 511
4 50 2 624
5 50 3 454
6 50 2 1379
7 50 3 1553
8 50 4 2447
9 50 4 2727
10 50 3 3186
11 50 5 5466
12 50 5 5519
13 50 6 3604
14 50 4 10829
15 50 3 12586
16 50 6 10815
17 50 7 17377
18 50 5 38906
19 50 7 103284
20 50 6 23684
21 50 6 56224
22 50 6 31941
23 50 9 130522
24 50 5 107796
25 50 7 111332
26 50 7 286702
27 50 8 265142
28 50 6 252995
29 50 8 457133
30 50 7 390033
1 75 1 104
2 75 2 212
3 75 2 307
4 75 3 468
5 75 3 473
6 75 3 764
7 75 4 1621
8 75 6 3064
9 75 4 3672
10 75 3 4458
11 75 5 2981
12 75 7 10822
13 75 3 6586
14 75 6 26583
15 75 4 19201
16 75 6 20916
17 75 6 23914
18 75 5 17668
19 75 7 45321
20 75 5 50928
21 75 8 156659
22 75 7 216859
23 75 8 102663
24 75 5 125190
25 75 7 251211
26 75 7 269310
27 75 8 293355
28 75 8 891135
29 75 7 374472
30 75 7 284597
1 100 1 94
2 100 2 205
3 100 2 359
4 100 3 481
5 100 3 782
6 100 4 1469
7 100 3 1103
8 100 4 2286
9 100 5 2111
10 100 3 3170
11 100 5 4383
12 100 5 8555
13 100 4 5774
14 100 6 19249
15 100 5 14432
16 100 6 24617
17 100 5 32194
18 100 7 41635
19 100 6 44975
20 100 6 112554
21 100 6 77512
22 100 6 46617
23 100 6 157815
24 100 10 372973
25 100 7 491305
26 100 6 123822
27 100 7 164832
28 100 7 273788
29 100 9 361273
30 100 6 395527
1 1 1 76
2 1 0 116
3 1 0 130
4 1 0 171
5 1 0 189
6 1 0 212
7 1 1 317
8 1 0 224
9 1 0 284
10 1 0 273
11 1 0 291
12 1 1 336
13 1 1 611
14 1 0 404
15 1 0 411
16 1 0 445
17 1 1 768
18 1 0 492
19 1 1 649
20 1 1 1002
21 1 0 974
22 1 1 1014
23 1 1 943
24 1 1 1048
25 1 0 746
26 1 0 716
27 1 0 703
28 1 1 1368
29 1 1 2262
30 1 1 935
1 10 0 117
2 10 0 152
3 10 1 314
4 10 1 366
5 10 1 582
6 10 1 425
7 10 1 727
8 10 2 708
9 10 2 924
10 10 2 796
11 10 1 795
12 10 2 1123
13 10 3 1177
14 10 3 1307
15 10 2 1068
16 10 4 2271
17 10 3 1018
18 10 2 2391
19 10 3 3330
20 10 3 2409
21 10 2 2293
22 10 2 2770
23 10 4 3576
24 10 2 4090
25 10 3 1520
26 10 4 10320
27 10 3 4052
28 10 3 3039
29 10 2 6017
30 10 3 3556
1 20 0 96
2 20 1 194
3 20 2 305
4 20 2 287
5 20 2 459
6 20 2 531
7 20 3 877
8 20 4 1277
9 20 3 1424
10 20 2 1761
11 20 2 1079
12 20 4 2622
13 20 3 4914
14 20 4 1661
15 20 3 3057
16 20 3 4658
17 20 3 5929
18 20 2 1699
19 20 4 15434
20 20 4 5948
21 20 5 25375
22 20 4 13265
23 20 3 8025
24 20 6 50148
25 20 4 23457
26 20 3 15793
27 20 7 23434
28 20 5 9709
29 20 5 53530
30 20 7 144335
1 50 1 115
2 50 2 221
3 50 1 311
4 50 2 413
5 50 3 791
6 50 3 1516
7 50 3 1776
8 50 4 2262
9 50 5 4098
10 50 4 2929
11 50 3 3035
12 50 5 11458
13 50 5 4921
14 50 4 10926
15 50 4 11843
16 50 5 13470
17 50 6 22892
18 50 6 34535
19 50 6 41119
20 50 6 39913
21 50 8 52200
22 50 7 79497
23 50 8 84964
24 50 4 59148
25 50 7 189683
26 50 7 200344
27 50 8 304578
28 50 7 196679
29 50 7 157944
30 50 8 1094250
1 75 1 151
2 75 2 214
3 75 2 363
4 75 2 692
5 75 2 811
6 75 4 1364
7 75 4 1030
8 75 4 3826
9 75 5 2969
10 75 4 3175
11 75 5 6303
12 75 4 14177
13 75 3 9740
14 75 4 12632
15 75 5 26726
16 75 6 29575
17 75 6 55725
18 75 7 88705
19 75 5 65863
20 75 5 54313
21 75 5 45039
22 75 5 83389
23 75 6 203346
24 75 9 486353
25 75 7 236375
26 75 8 687838
27 75 6 310436
28 75 7 796662
29 75 9 919408
30 75 8 997924
1 100 1 133
2 100 2 260
3 100 2 382
4 100 3 489
5 100 2 785
6 100 4 1290
7 100 2 1233
8 100 4 3702
9 100 5 3842
10 100 5 4249
11 100 4 7381
12 100 4 9276
13 100 6 22950
14 100 6 16422
15 100 5 33505
16 100 6 30077
17 100 6 24397
18 100 7 29910
19 100 5 39113
20 100 8 55533
21 100 7 92434
22 100 9 66553
23 100 7 142394
24 100 7 194266
25 100 6 99260
26 100 8 156674
27 100 5 281005
28 100 6 178223
29 100 6 160853
30 100 7 593879
1 1 0 141
2 1 0 203
3 1 0 218
4 1 1 318
5 1 0 350
6 1 1 361
7 1 0 336
8 1 0 443
9 1 1 476
10 1 1 396
11 1 0 550
12 1 0 575
13 1 0 604
14 1 1 903
15 1 1 1326
16 1 0 732
17 1 1 1556
18 1 0 476
19 1 0 591
20 1 1 795
21 1 0 562
22 1 0 585
23 1 1 599
24 1 1 853
25 1 0 663
26 1 1 1498
27 1 0 702
28 1 0 700
29 1 1 1728
30 1 1 1558
1 10 1 94
2 10 1 214
3 10 2 349
4 10 2 257
5 10 1 453
6 10 1 395
7 10 2 353
8 10 2 1518
9 10 1 682
10 10 1 518
11 10 2 668
12 10 1 913
13 10 2 843
14 10 3 4032
15 10 2 1276
16 10 3 1785
17 10 2 2139
18 10 2 1856
19 10 2 993
20 10 2 3023
21 10 2 2561
22 10 3 3181
23 10 1 1821
24 10 5 9176
25 10 4 6728
26 10 4 9267
27 10 3 6338
28 10 4 20637
29 10 2 3017
30 10 2 3565
1 20 1 75
2 20 0 145
3 20 2 313
4 20 1 530
5 20 1 519
6 20 2 790
7 20 2 910
8 20 2 1074
9 20 3 1706
10 20 2 1720
11 20 4 1659
12 20 3 3477
13 20 3 2974
14 20 2 1604
15 20 3 6182
16 20 3 5738
17 20 3 4527
18 20 4 8057
19 20 4 8708
20 20 2 3695
21 20 5 23159
22 20 4 20275
23 20 5 26925
24 20 4 22900
25 20 5 42939
26 20 5 22964
27 20 4 12096
28 20 5 71352
29 20 4 20151
30 20 3 20430
1 50 1 117
2 50 2 238
3 50 1 339
4 50 3 580
5 50 3 1002
6 50 5 704
7 50 4 2499
8 50 2 2637
9 50 4 4657
10 50 4 2673
11 50 5 7044
12 50 3 4167
13 50 6 8484
14 50 3 5956
15 50 7 20144
16 50 5 24597
17 50 7 17289
18 50 6 67412
19 50 6 20069
20 50 7 82947
21 50 7 51957
22 50 7 29494
23 50 5 74468
24 50 6 121096
25 50 5 113921
26 50 7 199563
27 50 7 146707
28 50 5 64104
29 50 7 203241
30 50 5 153635
1 75 1 118
2 75 2 247
3 75 2 335
4 75 2 509
5 75 2 1091
6 75 5 1560
7 75 2 1232
8 75 4 2477
9 75 3 3329
10 75 4 4452
11 75 4 11089
12 75 6 10784
13 75 3 7626
14 75 5 25169
15 75 5 14471
16 75 6 21099
17 75 6 47712
18 75 8 50128
19 75 6 41350
20 75 6 160206
21 75 6 98733
22 75 6 183183
23 75 8 490444
24 75 6 205617
25 75 6 181230
26 75 8 335853
27 75 7 776902
28 75 7 357073
29 75 8 455564
30 75 11 2618756
1 100 1 257
2 100 1 233
3 100 2 221
4 100 2 266
5 100 4 579
6 100 3 1174
7 100 5 2103
8 100 4 1799
9 100 4 3404
10 100 5 3648
11 100 6 5053
12 100 4 5401
13 100 4 11415
14 100 4 9854
15 100 4 24621
16 100 6 19163
17 100 6 44331
18 100 6 20411
19 100 8 71170
20 100 6 64955
21 100 8 168216
22 100 6 158450
23 100 7 84947
24 100 6 70733
25 100 7 304221
26 100 5 173180
27 100 5 149980
28 100 8 378434
29 100 7 357068
30 100 7 451725
1 1 0 114
2 1 0 161
