n r res t
1 10 0 419
2 10 0 201
3 10 1 434
4 10 0 205
5 10 2 600
6 10 2 770
7 10 3 1055
8 10 1 670
9 10 2 1720
10 10 1 1058
11 10 1 1515
12 10 2 1897
13 10 2 1628
14 10 2 2251
15 10 4 2982
16 10 2 2992
17 10 3 6476
18 10 2 1780
19 10 4 6608
20 10 3 2799
21 10 3 7176
22 10 3 1651
23 10 3 8156
24 10 3 7364
25 10 3 6429
26 10 5 31866
27 10 4 14194
28 10 3 8886
29 10 3 4968
30 10 4 13964
1 20 1 108
2 20 1 197
3 20 1 404
4 20 1 359
5 20 2 657
6 20 2 531
7 20 2 520
8 20 3 1291
9 20 4 1693
10 20 3 2268
11 20 2 1302
12 20 4 2428
13 20 4 2444
14 20 4 2446
15 20 3 7370
16 20 4 4969
17 20 5 12580
18 20 4 10812
19 20 4 3232
20 20 2 6463
21 20 4 9717
22 20 3 4170
23 20 5 21610
24 20 5 41663
25 20 6 41814
26 20 4 40144
27 20 3 10185
28 20 6 39669
29 20 5 68801
30 20 5 33257
1 50 1 85
2 50 2 257
3 50 2 354
4 50 3 486
5 50 3 573
6 50 3 987
7 50 3 1326
8 50 4 2023
9 50 5 2575
10 50 5 5800
11 50 5 5850
12 50 3 5340
13 50 5 9341
14 50 5 13050
15 50 3 10721
16 50 3 6517
17 50 5 13571
18 50 4 18566
19 50 7 74324
20 50 6 69902
21 50 5 27572
22 50 5 48843
23 50 6 90689
24 50 5 103197
25 50 6 216299
26 50 9 935492
27 50 8 1311817
28 50 9 405949
29 50 5 268268
30 50 7 774237
1 75 1 297
2 75 1 451
3 75 3 526
4 75 2 897
5 75 3 501
6 75 3 1718
7 75 3 2263
8 75 5 1488
9 75 5 3794
10 75 4 5911
11 75 5 9915
12 75 5 16403
13 75 6 12753
14 75 5 26004
15 75 4 28326
16 75 6 21618
17 75 7 34881
18 75 6 107082
19 75 7 278042
20 75 6 50903
21 75 7 122390
22 75 6 61155
23 75 9 268828
24 75 6 299327
25 75 7 258168
26 75 8 385094
27 75 8 402076
28 75 6 273904
29 75 8 344126
30 75 7 454455
1 100 1 69
2 100 2 131
3 100 2 177
4 100 3 289
5 100 3 348
6 100 3 6321
7 100 4 1077
8 100 6 1238
9 100 4 2349
10 100 3 2891
11 100 5 3421
12 100 7 6876
13 100 3 7454
14 100 6 16469
15 100 4 13419
16 100 6 20685
17 100 6 20007
18 100 5 17535
19 100 7 45046
20 100 5 50093
21 100 8 154537
22 100 7 210804
23 100 8 85391
24 100 5 95667
25 100 7 197154
26 100 7 189898
27 100 8 208178
28 100 8 658481
29 100 7 358173
30 100 7 350725
1 1000 1 126
2 1000 2 255
3 1000 2 355
4 1000 3 477
5 1000 3 600
6 1000 4 997
7 1000 3 1482
8 1000 4 2173
9 1000 5 1523
10 1000 3 3721
11 1000 5 4483
12 1000 5 8606
13 1000 4 7841
14 1000 6 26282
15 1000 5 17905
16 1000 6 37984
17 1000 5 31344
18 1000 7 62767
19 1000 6 44270
20 1000 6 138132
21 1000 6 98880
22 1000 6 45384
23 1000 6 179833
24 1000 10 250438
25 1000 7 432352
26 1000 6 165339
27 1000 7 257002
28 1000 7 425681
29 1000 9 519524
30 1000 6 581039
1 10 1 158
2 10 0 204
3 10 2 385
4 10 1 270
5 10 0 260
6 10 1 512
7 10 2 1228
8 10 1 1083
9 10 2 761
10 10 1 667
11 10 2 1724
12 10 2 628
13 10 3 1437
14 10 2 1265
15 10 1 1806
16 10 2 3257
17 10 3 5140
18 10 3 3000
19 10 5 6716
20 10 2 4921
21 10 2 5135
22 10 4 8354
23 10 2 4635
24 10 3 11370
25 10 2 8529
26 10 2 4615
27 10 2 6297
28 10 4 12165
29 10 4 22839
30 10 3 6968
1 20 1 123
2 20 1 202
3 20 1 319
4 20 2 406
5 20 2 777
6 20 2 626
7 20 1 941
8 20 3 1497
9 20 2 2187
10 20 3 3032
11 20 3 1926
12 20 3 4696
13 20 3 6655
14 20 4 3546
15 20 3 3191
16 20 4 5917
17 20 4 2693
18 20 3 13100
19 20 4 18252
20 20 4 4306
21 20 4 5585
22 20 3 12603
23 20 5 10543
24 20 4 8174
25 20 4 9803
26 20 5 43864
27 20 4 9526
28 20 4 11117
29 20 4 22493
30 20 4 16121
1 50 1 94
2 50 2 213
3 50 3 403
4 50 3 599
5 50 3 747
6 50 3 505
7 50 5 386
8 50 5 1460
9 50 4 2273
10 50 4 3712
11 50 4 3992
12 50 5 12102
13 50 5 17628
14 50 5 14433
15 50 5 17635
16 50 6 20691
17 50 4 31996
18 50 4 21418
19 50 5 41471
20 50 7 33510
21 50 8 117410
22 50 6 116503
23 50 5 60586
24 50 8 235252
25 50 6 109446
26 50 6 294771
27 50 9 193099
28 50 6 101600
29 50 7 258487
30 50 10 1780777
1 75 1 175
2 75 2 227
3 75 1 327
4 75 2 450
5 75 3 739
6 75 3 1067
7 75 3 2493
8 75 4 2086
9 75 5 6114
10 75 4 4392
11 75 3 4993
12 75 5 19552
13 75 6 7586
14 75 4 17562
15 75 4 23618
16 75 5 18816
17 75 6 27287
18 75 6 51452
19 75 6 59137
20 75 6 52406
21 75 8 94768
22 75 8 109620
23 75 8 135796
24 75 5 231152
25 75 7 309577
26 75 8 426122
27 75 9 412098
28 75 8 440355
29 75 7 243493
30 75 8 1069870
1 100 1 117
2 100 2 250
3 100 2 421
4 100 2 601
5 100 2 785
6 100 4 1297
7 100 4 966
8 100 4 3147
9 100 5 2474
10 100 4 2659
11 100 5 4636
12 100 4 12391
13 100 3 8512
14 100 4 10052
15 100 5 21610
16 100 6 24937
17 100 6 47711
18 100 7 62729
19 100 5 57006
20 100 5 49592
21 100 5 36778
22 100 5 76250
23 100 6 183248
24 100 9 440831
25 100 7 215466
26 100 8 621702
27 100 6 272530
28 100 7 700031
29 100 9 829714
30 100 8 954924
1 1000 1 119
2 1000 2 221
3 1000 2 258
4 1000 3 284
5 1000 2 609
6 1000 4 550
7 1000 2 964
8 1000 4 3024
9 1000 5 3355
10 1000 5 2467
11 1000 4 7174
12 1000 4 7835
13 1000 6 18937
14 1000 6 12877
15 1000 5 30245
16 1000 6 25689
17 1000 6 32996
18 1000 7 27825
19 1000 5 51461
20 1000 8 78576
