n r res t
1 1 0 265
2 1 0 128
3 1 0 212
4 1 0 373
5 1 0 727
6 1 0 1296
7 1 0 2465
8 1 0 4797
9 1 1 9708
10 1 0 18901
11 1 0 37431
12 1 0 75777
13 1 0 150565
14 1 0 304431
15 1 1 635557
16 1 1 1213229
17 1 1 2481509
18 1 0 5633627
19 1 1 9931605
20 1 0 23429627
21 1 1 40897240
22 1 1 79298113
23 1 0 159738326
24 1 1 322030028
25 1 0 641647883
26 1 1 1318264365
27 1 1 2649383042
28 1 1 5209681222
29 1 1 10235540173
30 1 1 20390393223
1 10 1 112
2 10 1 160
3 10 0 270
4 10 1 487
5 10 1 984
6 10 1 2144
7 10 2 2576
8 10 2 5754
9 10 3 9996
10 10 2 23270
11 10 1 37672
12 10 3 76225
13 10 3 151345
14 10 2 301575
15 10 2 599445
16 10 2 1198420
17 10 4 2420337
18 10 4 4814088
19 10 3 9631673
20 10 1 20036629
21 10 2 40676766
22 10 2 78613256
23 10 4 158484226
24 10 4 317554010
25 10 4 634183179
26 10 2 1303051149
27 10 2 2572663072
28 10 4 5130278920
29 10 3 10263389844
30 10 4 20555924460
1 20 1 91
2 20 2 121
3 20 1 273
4 20 2 480
5 20 2 801
6 20 1 1518
7 20 1 3864
8 20 2 7258
9 20 4 10240
10 20 3 21659
11 20 3 38342
12 20 2 76785
13 20 4 153128
14 20 3 302029
15 20 1 609919
16 20 2 1240292
17 20 4 2462036
18 20 3 4876438
19 20 6 9726508
20 20 4 19647168
21 20 3 40680237
22 20 3 81838501
23 20 4 160990480
24 20 2 315209756
25 20 4 640840001
26 20 7 1286283322
27 20 6 2574870413
28 20 5 5113276306
29 20 4 10202934876
30 20 5 20838490332
1 50 1 120
2 50 1 190
3 50 2 274
4 50 2 589
5 50 3 954
6 50 2 1692
7 50 3 2790
8 50 4 5563
9 50 4 10562
10 50 3 20019
11 50 5 39268
12 50 5 78551
13 50 6 153196
14 50 4 304021
15 50 3 602907
16 50 6 1208014
17 50 7 2411773
18 50 5 4834614
19 50 7 9689472
20 50 6 19364443
21 50 6 39158165
22 50 6 78593345
23 50 9 158857232
24 50 5 318312798
25 50 7 650347998
26 50 7 1269835817
27 50 8 2540087408
28 50 6 5086067970
29 50 8 10165356774
30 50 7 20599166141
1 75 1 95
2 75 2 149
3 75 2 290
4 75 3 557
5 75 3 1060
6 75 3 1584
7 75 4 4184
8 75 6 9261
9 75 4 17198
10 75 3 34285
11 75 5 70201
12 75 7 133632
13 75 3 220380
14 75 6 307644
15 75 4 603661
16 75 6 1206795
17 75 6 2505462
18 75 5 5032880
19 75 7 9654187
20 75 5 19425461
21 75 8 39718412
22 75 7 77740570
23 75 8 157081661
24 75 5 312095747
25 75 7 632549730
26 75 7 1310785728
27 75 8 2540496698
28 75 8 5061507760
29 75 7 10273584661
30 75 7 20607189351
1 100 1 152
2 100 2 211
3 100 2 448
4 100 3 753
5 100 3 1366
6 100 4 2527
7 100 3 4722
8 100 4 8423
9 100 5 15729
10 100 3 20374
11 100 5 39593
12 100 5 79507
13 100 4 153390
14 100 6 316495
15 100 5 604060
16 100 6 1208714
17 100 5 2591146
18 100 7 4876205
19 100 6 9856893
20 100 6 20339387
21 100 6 40055377
22 100 6 78119922
23 100 6 156612039
24 100 10 316235227
25 100 7 646200412
26 100 6 1276674457
27 100 7 2550670220
28 100 7 5108216714
29 100 9 10150211616
30 100 6 20501892410
1 1 1 117
2 1 0 131
3 1 0 215
4 1 0 351
5 1 0 624
6 1 0 1266
7 1 1 2563
8 1 0 5742
9 1 0 10493
10 1 0 19651
11 1 0 37383
12 1 1 76531
13 1 1 150941
14 1 0 300816
15 1 0 599453
16 1 0 1200495
17 1 1 2398276
18 1 0 4918335
19 1 1 9781821
20 1 1 19554921
21 1 0 39605051
22 1 1 78507713
23 1 1 157126726
24 1 1 314726588
25 1 0 662327672
26 1 0 1290507994
27 1 0 2594714935
28 1 1 5106160625
29 1 1 10395720181
30 1 1 20417989050
1 10 0 147
2 10 0 199
3 10 1 355
4 10 1 693
5 10 1 833
6 10 1 2130
7 10 1 2652
8 10 2 5179
9 10 2 9774
10 10 2 19115
11 10 1 42639
12 10 2 76611
13 10 3 151248
14 10 3 303270
15 10 2 602930
16 10 4 1346121
17 10 3 2463928
18 10 2 4811645
19 10 3 9633600
20 10 3 19769654
21 10 2 39211284
22 10 2 79007841
23 10 4 159221789
24 10 2 317976259
25 10 3 632431578
26 10 4 1266503607
27 10 3 2577008714
28 10 3 5095507995
29 10 2 10160350578
30 10 3 20403372248
1 20 0 93
2 20 1 159
3 20 2 303
4 20 2 466
5 20 2 794
6 20 2 1544
7 20 3 2916
8 20 4 5117
9 20 3 9953
10 20 2 19593
11 20 2 37859
12 20 4 76797
13 20 3 152617
14 20 4 301130
15 20 3 599468
16 20 3 1201536
17 20 3 2398539
18 20 2 4818284
19 20 4 9767249
20 20 4 19221524
21 20 5 39569964
22 20 4 80123051
23 20 3 162621070
24 20 6 317164466
25 20 4 629044008
26 20 3 1266155249
27 20 7 2548684060
28 20 5 5036711611
29 20 5 10471526520
30 20 7 20694998371
1 50 1 115
2 50 2 183
3 50 1 326
4 50 2 480
5 50 3 917
6 50 3 1630
7 50 3 2902
8 50 4 5520
9 50 5 10315
10 50 4 20100
11 50 3 38502
12 50 5 79467
13 50 5 153730
14 50 4 304372
15 50 4 611225
16 50 5 1209109
17 50 6 2406848
18 50 6 4981239
19 50 6 11353507
20 50 6 19307154
21 50 8 39868043
22 50 7 78882840
23 50 8 164370236
24 50 4 321551467
25 50 7 641787548
26 50 7 1278571924
27 50 8 2532195971
28 50 7 5098489667
29 50 7 10274172783
30 50 8 20474111243
1 75 1 122
2 75 2 152
3 75 2 265
4 75 2 495
5 75 2 1077
6 75 4 2498
7 75 4 3163
8 75 4 5758
9 75 5 11411
10 75 4 20743
11 75 5 39856
12 75 4 92956
13 75 3 154586
14 75 4 312521
15 75 5 637696
16 75 6 1213673
17 75 6 2424387
18 75 7 4860491
19 75 5 9951207
20 75 5 20054151
21 75 5 40128927
22 75 5 78955145
23 75 6 157126281
24 75 9 318580064
25 75 7 637497946
26 75 8 1303785616
27 75 6 2636900019
28 75 7 5227369897
29 75 9 10205231327
30 75 8 20393706526
1 100 1 102
2 100 2 152
3 100 2 248
4 100 3 610
5 100 2 924
6 100 4 1577
7 100 2 2953
8 100 4 5610
9 100 5 10846
10 100 5 20456
11 100 4 39735
12 100 4 78965
13 100 6 157382
14 100 6 307303
15 100 5 1019888
16 100 6 1270320
17 100 6 2446511
18 100 7 4848141
19 100 5 9657910
20 100 8 20709621
21 100 7 40394211
22 100 9 80385424
23 100 7 162121069
24 100 7 327457436
25 100 6 638786513
26 100 8 1281606359
27 100 5 2547288463
28 100 6 5117625228
29 100 6 10213600085
30 100 7 20511649361
1 1 0 113
2 1 0 128
3 1 0 219
4 1 1 437
5 1 0 692
6 1 1 1883
7 1 0 3602
8 1 0 7106
9 1 1 13141
10 1 1 19051
11 1 0 37465
12 1 0 81840
13 1 0 150526
14 1 1 300573
15 1 1 598668
16 1 0 1197369
17 1 1 2400519
18 1 0 4804268
19 1 0 10412785
20 1 1 19425709
21 1 0 40113097
22 1 0 78833909
23 1 1 156289734
24 1 1 326793738
25 1 0 653340795
26 1 1 1276567033
27 1 0 2580284002
28 1 0 5075602424
29 1 1 10212400383
30 1 1 20443525612
1 10 1 93
2 10 1 131
3 10 2 266
4 10 2 493
5 10 1 779
6 10 1 1390
7 10 2 3679
8 10 2 6789
9 10 1 12805
10 10 1 19456
11 10 2 39096
12 10 1 83642
13 10 2 155485
14 10 3 305735
15 10 2 603423
16 10 3 1202379
17 10 2 2402849
18 10 2 4819141
19 10 2 10460275
20 10 2 21329471
21 10 2 41864315
22 10 3 86562473
23 10 1 169775688
24 10 5 337956058
25 10 4 640231307
26 10 4 1289260450
27 10 3 2551509672
28 10 4 5119329473
29 10 2 10311611981
30 10 2 20439454691
1 20 1 141
2 20 0 176
3 20 2 330
4 20 1 699
5 20 1 1245
6 20 2 2480
7 20 2 4357
8 20 2 8668
9 20 3 16648
10 20 2 19267
11 20 4 38130
12 20 3 76940
13 20 3 151664
14 20 2 301821
15 20 3 604851
16 20 3 1351009
17 20 3 2449149
18 20 4 4809474
19 20 4 9642192
20 20 2 20326856
21 20 5 40033104
22 20 4 79337958
23 20 5 165354132
24 20 4 321840869
25 20 5 636689428
26 20 5 1297278302
27 20 4 2560850283
28 20 5 5128492159
29 20 4 10237395944
30 20 3 20480653100
1 50 1 109
2 50 2 127
3 50 1 312
4 50 3 585
5 50 3 1079
6 50 5 1635
7 50 4 3946
8 50 2 5643
9 50 4 10452
10 50 4 44626
11 50 5 40421
12 50 3 78978
13 50 6 155185
14 50 3 303186
15 50 7 630878
16 50 5 1231750
17 50 7 2418940
18 50 6 5022984
19 50 6 9657414
20 50 7 19316566
21 50 7 39430323
22 50 7 78107776
23 50 5 162554846
24 50 6 334098922
25 50 5 638931428
26 50 7 1291611508
27 50 7 2560353278
28 50 5 5122618787
29 50 7 10225734264
30 50 5 20568460591
1 75 1 111
2 75 2 149
3 75 2 269
4 75 2 555
5 75 2 843
6 75 5 2509
7 75 2 3410
8 75 4 5636
9 75 3 16533
10 75 4 19946
11 75 4 39986
12 75 6 78690
13 75 3 152936
14 75 5 305498
15 75 5 602707
16 75 6 1206641
17 75 6 2542767
18 75 8 4914124
19 75 6 10062911
20 75 6 20467290
21 75 6 40649774
22 75 6 80094765
23 75 8 161511060
24 75 6 319005170
25 75 6 639052053
26 75 8 1287675830
27 75 7 2548600191
28 75 7 5086356896
29 75 8 10151439717
30 75 11 20531066514
1 100 1 115
2 100 1 175
3 100 2 238
4 100 2 509
5 100 4 1023
6 100 3 1802
7 100 5 3172
8 100 4 5543
9 100 4 10599
10 100 5 20273
11 100 6 39904
12 100 4 77792
13 100 4 155157
14 100 4 303828
15 100 4 607953
16 100 6 1223577
17 100 6 2469618
18 100 6 4853655
19 100 8 10314256
20 100 6 19609709
21 100 8 40176442
22 100 6 80335345
23 100 7 164343750
24 100 6 321642323
25 100 7 641243625
26 100 5 1296324071
27 100 5 2592641844
28 100 8 5195802048
29 100 7 10317814573
30 100 7 20628892050
1 1 0 75
2 1 0 103
3 1 0 193
4 1 0 334
5 1 0 628
6 1 0 1255
7 1 0 2384
8 1 1 5016
9 1 0 9417
10 1 0 18733
11 1 0 37460
12 1 0 75859
13 1 0 150524
14 1 0 300108
15 1 0 598512
16 1 1 1202887
17 1 0 2401208
18 1 0 4805264
19 1 0 9955091
20 1 1 20426308
21 1 1 38997889
22 1 0 79518377
23 1 0 160194815
24 1 1 319563075
25 1 0 652528223
26 1 0 1307772580
27 1 0 2643899953
28 1 0 5294685908
29 1 0 10799109187
30 1 1 21015566219
1 10 0 100
2 10 1 160
3 10 1 308
4 10 1 528
5 10 0 961
6 10 2 1512
7 10 4 3995
8 10 2 4987
9 10 1 9705
10 10 2 18968
11 10 2 37773
12 10 2 76116
13 10 1 150981
14 10 1 300585
15 10 3 609081
16 10 4 1203455
17 10 3 2397286
18 10 3 5264554
19 10 3 9665675
20 10 2 20292055
21 10 2 40158031
22 10 1 80955876
23 10 2 161705512
24 10 2 326040736
25 10 4 649079584
26 10 4 1307673761
27 10 2 2611880838
28 10 5 5210402084
29 10 2 10401186642
30 10 3 21110546936
1 20 1 110
2 20 1 135
3 20 2 257
4 20 2 438
5 20 1 777
6 20 4 1967
7 20 3 3507
8 20 3 7597
9 20 3 9734
10 20 4 19500
11 20 2 38110
12 20 2 76532
13 20 2 151059
14 20 3 311287
15 20 3 636543
16 20 4 1215896
17 20 5 2573348
18 20 3 6073344
19 20 3 10700957
20 20 5 20263092
21 20 2 41980470
22 20 5 81841256
23 20 3 170609444
24 20 4 334214953
25 20 6 674012879
26 20 4 1427309059
27 20 5 2787742043
28 20 5 5507979627
29 20 5 10919167422
30 20 6 22373590793
1 50 1 95
2 50 2 126
3 50 3 273
4 50 3 517
5 50 4 941
6 50 2 1701
7 50 3 2902
8 50 5 5593
9 50 4 10670
10 50 6 20617
11 50 5 39362
12 50 3 77116
13 50 5 155510
14 50 5 312127
15 50 5 613349
16 50 4 1569139
17 50 5 3110277
18 50 5 4912145
19 50 6 10628788
20 50 5 21162834
21 50 6 40868202
22 50 6 87776639
23 50 5 167450959
24 50 9 362281843
25 50 8 685628992
26 50 8 1353017487
27 50 6 2759594720
28 50 8 5605957045
29 50 7 11204216588
30 50 8 21918958285
1 75 1 113
2 75 2 144
3 75 2 298
4 75 3 599
5 75 3 955
6 75 3 1695
7 75 2 2851
8 75 4 5537
9 75 5 10972
10 75 5 20223
11 75 6 39489
12 75 5 78885
13 75 5 153973
14 75 6 309624
15 75 6 618614
16 75 5 1206440
17 75 5 2649812
18 75 6 4933219
19 75 5 10114693
20 75 4 20516144
21 75 5 40308134
22 75 7 86232339
23 75 8 166692873
24 75 7 334595956
25 75 8 670813869
26 75 8 1335532337
27 75 9 2740222685
28 75 5 5382215685
29 75 6 10781821905
30 75 9 21482715686
1 100 1 89
2 100 1 146
3 100 2 286
4 100 2 593
5 100 3 843
6 100 3 1746
7 100 4 3707
8 100 4 5933
9 100 3 11234
10 100 5 20959
11 100 4 40419
12 100 6 80278
13 100 6 156386
14 100 6 307521
15 100 5 603293
16 100 7 1210175
17 100 6 2463192
18 100 6 6221697
19 100 4 10627301
20 100 7 20073417
21 100 7 39587841
22 100 6 79262225
23 100 7 158028952
24 100 7 339162509
25 100 7 664708355
26 100 8 1304227094
27 100 7 2619570760
28 100 8 5264842597
29 100 9 10482199520
30 100 6 21280090489
1 1 0 86
2 1 0 117
3 1 0 197
4 1 0 363
5 1 0 656
6 1 0 1238
7 1 0 2408
8 1 0 4757
9 1 0 9432
10 1 0 18727
11 1 0 37419
12 1 1 76050
13 1 1 150832
14 1 1 300539
15 1 1 604491
16 1 1 1197610
17 1 1 2395404
18 1 1 4829325
19 1 0 10313765
20 1 0 20551907
21 1 0 41446594
22 1 1 80621947
23 1 0 162955574
24 1 0 355605951
25 1 0 678381252
26 1 1 1342024914
27 1 1 2615912249
28 1 1 5314266714
29 1 1 10463916650
30 1 0 20986062836
1 10 1 174
2 10 2 186
3 10 1 467
4 10 2 760
5 10 2 1288
6 10 1 2300
7 10 1 4572
8 10 2 8771
9 10 2 16916
10 10 1 33477
11 10 2 66532
12 10 1 124419
13 10 2 254265
14 10 3 512043
15 10 1 1027383
16 10 2 2050405
17 10 2 4124554
18 10 2 7972695
19 10 4 10619506
20 10 1 19975916
21 10 5 40858431
22 10 2 83158752
23 10 2 169161272
24 10 2 322617136
25 10 4 653849789
26 10 6 1298085535
27 10 4 2615071142
28 10 3 5476228951
29 10 2 10585167325
30 10 4 21440858634
1 20 0 178
2 20 1 176
3 20 2 371
4 20 1 684
5 20 2 1233
6 20 2 1871
7 20 2 4126
8 20 2 7797
9 20 1 15216
10 20 2 23202
11 20 3 38280
12 20 3 82460
13 20 4 151784
14 20 5 313063
15 20 2 849012
16 20 4 1567357
17 20 3 3711182
18 20 3 5944610
19 20 5 14200329
20 20 3 24538292
21 20 4 50575412
22 20 3 96422792
23 20 7 168330707
24 20 3 340984868
25 20 7 671206639
26 20 4 1341602739
27 20 4 2691301552
28 20 5 5278885058
29 20 5 10621922348
30 20 7 21282329744
1 50 1 102
2 50 1 155
3 50 2 295
4 50 3 423
5 50 2 973
