n r res t
1 10 0 235
2 10 0 189
3 10 1 296
4 10 0 489
5 10 2 796
6 10 2 1451
7 10 3 2787
8 10 1 4977
9 10 2 9974
10 10 1 18947
11 10 1 37817
12 10 2 75346
13 10 2 150428
14 10 2 299591
15 10 4 598322
16 10 2 1197739
17 10 3 2436067
18 10 2 4919951
19 10 4 9647085
20 10 3 19326975
21 10 3 38588513
22 10 3 77123561
23 10 3 154525653
24 10 3 309911218
25 10 3 623649565
26 10 5 1270078476
27 10 4 2484095942
28 10 3 4982712859
29 10 3 10001525067
30 10 4 20070395320
1 20 1 77
2 20 1 135
3 20 1 226
4 20 1 498
5 20 2 841
6 20 2 1950
7 20 2 3643
8 20 3 5985
9 20 4 10718
10 20 3 19389
11 20 2 38592
12 20 4 76673
13 20 4 151730
14 20 4 300239
15 20 3 601435
16 20 4 1207009
17 20 5 2403985
18 20 4 4904820
19 20 4 9698537
20 20 2 19406270
21 20 4 38888790
22 20 3 77626755
23 20 5 156390348
24 20 5 312471712
25 20 6 621834686
26 20 4 1243645389
27 20 3 2484862119
28 20 6 4976209715
29 20 5 10375699077
30 20 5 20178888000
1 50 1 84
2 50 2 134
3 50 2 262
4 50 3 483
5 50 3 999
6 50 3 1757
7 50 3 2889
8 50 4 5493
9 50 5 11430
10 50 5 21628
11 50 5 41002
12 50 3 77477
13 50 5 155772
14 50 5 304882
15 50 3 602965
16 50 3 1200450
17 50 5 2409649
18 50 4 4821115
19 50 7 9641283
20 50 6 19245393
21 50 5 38657708
22 50 5 77440256
23 50 6 153675718
24 50 5 310249319
25 50 6 624153336
26 50 9 1240468523
27 50 8 2483832630
28 50 9 4950586377
29 50 5 10008170566
30 50 7 19882714070
1 75 1 103
2 75 1 146
3 75 3 308
4 75 2 576
5 75 3 1008
6 75 3 1702
7 75 3 2871
8 75 5 5613
9 75 5 10479
10 75 4 20226
11 75 5 39822
12 75 5 78779
13 75 6 153583
14 75 5 306449
15 75 4 602634
16 75 6 1201480
17 75 7 2408067
18 75 6 4826325
19 75 7 9658247
20 75 6 20634549
21 75 7 38992770
22 75 6 77266320
23 75 9 155101481
24 75 6 309385760
25 75 7 618859834
26 75 8 1236510786
27 75 8 2536007847
28 75 6 4988681222
29 75 8 10187630738
30 75 7 20122011903
1 100 1 122
2 100 2 158
3 100 2 329
4 100 3 549
5 100 3 1037
6 100 3 2041
7 100 4 4236
8 100 6 8039
9 100 4 15156
10 100 3 31070
11 100 5 42493
12 100 7 84297
13 100 3 157976
14 100 6 306248
15 100 4 606959
16 100 6 1402846
17 100 6 2911211
18 100 5 8149024
19 100 7 10257628
20 100 5 19465247
21 100 8 39315449
22 100 7 78189980
23 100 8 156340056
24 100 5 326714179
25 100 7 618576600
26 100 7 1230835073
27 100 8 2521299366
28 100 8 5044471326
29 100 7 10090799000
30 100 7 20006118062
1 1000 1 108
2 1000 2 134
3 1000 2 313
4 1000 3 428
5 1000 3 1014
6 1000 4 1659
7 1000 3 3021
8 1000 4 5438
9 1000 5 10702
10 1000 3 20067
11 1000 5 39465
12 1000 5 78666
13 1000 4 152294
14 1000 6 309291
15 1000 5 602953
16 1000 6 1206981
17 1000 5 2415954
18 1000 7 4817657
19 1000 6 9661129
20 1000 6 19296832
21 1000 6 38573658
22 1000 6 77027126
23 1000 6 154078679
24 1000 10 309033856
25 1000 7 631398891
26 1000 6 1238901523
27 1000 7 2506980368
28 1000 7 4981154951
29 1000 9 9949346476
30 1000 6 19810385031
1 10 1 91
2 10 0 124
3 10 2 280
4 10 1 500
5 10 0 693
6 10 1 1389
7 10 2 2655
8 10 1 5015
9 10 2 9697
10 10 1 18921
11 10 2 37803
12 10 2 75135
13 10 3 150169
14 10 2 301232
15 10 1 598181
16 10 2 1207556
17 10 3 2399411
18 10 3 4806202
19 10 5 9616673
20 10 2 19233177
21 10 2 38469730
22 10 4 76936107
23 10 2 153926458
24 10 3 310423537
25 10 2 636919538
26 10 2 1252193483
27 10 2 2472719470
28 10 4 5045884041
29 10 4 10155916763
30 10 3 20439461468
1 20 1 89
2 20 1 141
3 20 1 285
4 20 2 493
5 20 2 819
6 20 2 2080
7 20 1 3269
8 20 3 7939
9 20 2 9870
10 20 3 24061
11 20 3 38145
12 20 3 80315
13 20 3 151167
14 20 4 309727
15 20 3 599292
16 20 4 1359096
17 20 4 2464321
18 20 3 4802061
19 20 4 9659803
20 20 4 19238495
21 20 4 38769021
22 20 3 79018699
23 20 5 156465005
24 20 4 313025308
25 20 4 625633922
26 20 5 1242272960
27 20 4 2479235181
28 20 4 4953147034
29 20 4 9950792561
30 20 4 19811059477
1 50 1 106
2 50 2 134
3 50 3 217
4 50 3 562
5 50 3 915
6 50 3 1714
7 50 5 3101
8 50 5 5895
9 50 4 10385
10 50 4 19872
11 50 4 38994
12 50 5 78126
13 50 5 154701
14 50 5 302833
15 50 5 601988
16 50 6 1212840
17 50 4 2401514
18 50 4 4823620
19 50 5 9641262
20 50 7 19279688
21 50 8 38558393
22 50 6 77455347
23 50 5 154362030
24 50 8 309777394
25 50 6 616980866
26 50 6 1282485394
27 50 9 2500838518
28 50 6 5124064375
29 50 7 10028614783
30 50 10 19818001005
1 75 1 117
2 75 2 152
3 75 1 302
4 75 2 512
5 75 3 902
6 75 3 1711
7 75 3 2978
8 75 4 5543
9 75 5 10312
10 75 4 20199
11 75 3 38445
12 75 5 78282
13 75 6 153192
14 75 4 303710
15 75 4 603777
16 75 5 1202080
17 75 6 2405241
18 75 6 4840878
19 75 6 9649013
20 75 6 19272309
21 75 8 38576489
22 75 8 77130422
23 75 8 154458530
24 75 5 308032031
25 75 7 615237005
26 75 8 1229675383
27 75 9 2460466584
28 75 8 4929503690
29 75 7 9913399586
30 75 8 19763919096
1 100 1 117
2 100 2 168
3 100 2 328
4 100 2 538
5 100 2 817
6 100 4 1663
7 100 4 3089
8 100 4 5824
9 100 5 10870
10 100 4 19964
11 100 5 39225
12 100 4 77688
13 100 3 151606
14 100 4 301870
15 100 5 604429
16 100 6 1206978
17 100 6 2422729
18 100 7 4848655
19 100 5 9641765
20 100 5 19272090
21 100 5 38497498
22 100 5 77045316
23 100 6 154356820
24 100 9 308152591
25 100 7 617035275
26 100 8 1233366886
27 100 6 2465709800
28 100 7 4944978334
29 100 9 9871273112
30 100 8 19758083954
1 1000 1 89
