n r res t
1 1 0 4120
2 1 0 968
3 1 0 1004
4 1 0 1216
5 1 0 1471
6 1 0 1806
7 1 0 1950
8 1 0 2226
9 1 1 2726
10 1 0 2440
11 1 0 2911
12 1 0 6545
13 1 0 3136
14 1 0 3732
15 1 1 4625
16 1 1 4529
17 1 1 4783
18 1 0 4468
19 1 1 5334
20 1 0 4817
21 1 1 7304
22 1 1 6260
23 1 0 5546
24 1 1 6555
25 1 0 6217
26 1 1 7088
27 1 1 7422
28 1 1 8556
29 1 1 7042
30 1 1 8164
1 10 1 828
2 10 1 1004
3 10 0 1066
4 10 1 1427
5 10 1 1481
6 10 1 1964
7 10 2 2156
8 10 2 2700
9 10 3 4495
10 10 2 3557
11 10 1 3102
12 10 3 4545
13 10 3 5350
14 10 2 4847
15 10 2 5667
16 10 2 9192
17 10 4 8456
18 10 4 8986
19 10 3 7190
20 10 1 5381
21 10 2 7862
22 10 2 6299
23 10 4 9180
24 10 4 171783
25 10 4 12933
26 10 2 12610
27 10 2 9445
28 10 4 14754
29 10 3 15347
30 10 4 14686
1 20 1 2894
2 20 2 935
3 20 1 1285
4 20 2 1672
5 20 2 1922
6 20 1 2318
7 20 1 2317
8 20 2 3971
9 20 4 5426
10 20 3 5910
11 20 3 6432
12 20 2 4708
13 20 4 10983
14 20 3 7801
15 20 1 5421
16 20 2 6573
17 20 4 9972
18 20 3 12471
19 20 6 17896
20 20 4 12923
21 20 3 9970
22 20 3 15847
23 20 4 16940
24 20 2 12953
25 20 4 19815
26 20 7 27159
27 20 6 23589
28 20 5 20957
29 20 4 17662
30 20 5 21963
1 50 1 770
2 50 1 1006
3 50 2 1488
4 50 2 1840
5 50 3 2489
6 50 2 5294
7 50 3 4280
8 50 4 5375
9 50 4 6206
10 50 3 33179
11 50 5 12389
12 50 5 13496
13 50 6 13245
14 50 4 15142
15 50 3 17878
16 50 6 16558
17 50 7 22969
18 50 5 26639
19 50 7 37167
20 50 6 23835
21 50 6 27696
22 50 6 29411
23 50 9 36729
24 50 5 34149
25 50 7 37470
26 50 7 46062
27 50 8 39602
28 50 6 46942
29 50 8 53554
30 50 7 51823
1 75 1 993
2 75 2 1094
3 75 2 1506
4 75 3 2104
5 75 3 2795
6 75 3 2761
7 75 4 5484
8 75 6 6845
9 75 4 6848
10 75 3 8132
11 75 5 8533
12 75 7 16459
13 75 3 11891
14 75 6 18353
15 75 4 18395
16 75 6 21940
17 75 6 22315
18 75 5 21171
19 75 7 26943
20 75 5 27832
21 75 8 39639
22 75 7 41651
23 75 8 34091
24 75 5 35433
25 75 7 41337
26 75 7 47492
27 75 8 41180
28 75 8 49188
29 75 7 55548
30 75 7 50133
1 100 1 1015
2 100 2 1141
3 100 2 1527
4 100 3 1947
5 100 3 2789
6 100 4 3580
7 100 3 3874
8 100 4 5708
9 100 5 8115
10 100 3 7279
11 100 5 10922
12 100 5 13498
13 100 4 11748
14 100 6 19025
15 100 5 17768
16 100 6 24661
17 100 5 17926
18 100 7 22900
19 100 6 25504
20 100 6 36828
21 100 6 30495
22 100 6 32430
23 100 6 40479
24 100 10 57535
25 100 7 46609
26 100 6 42127
27 100 7 41016
28 100 7 60222
29 100 9 64526
30 100 6 57299
1 1 1 685
2 1 0 837
3 1 0 1000
4 1 0 1255
5 1 0 1450
6 1 0 1671
7 1 1 2357
8 1 0 2346
9 1 0 2483
10 1 0 2580
11 1 0 2714
12 1 1 2833
13 1 1 3606
14 1 0 3346
15 1 0 3870
16 1 0 3958
17 1 1 4685
18 1 0 4032
19 1 1 4740
20 1 1 4575
21 1 0 4877
22 1 1 6177
23 1 1 6108
24 1 1 6471
25 1 0 5959
26 1 0 6023
27 1 0 6268
28 1 1 7677
29 1 1 7861
30 1 1 7205
1 10 0 620
2 10 0 823
3 10 1 1168
4 10 1 1422
5 10 1 1812
6 10 1 1917
7 10 1 2614
8 10 2 3148
9 10 2 3597
10 10 2 3834
11 10 1 3937
12 10 2 4623
13 10 3 4882
14 10 3 5148
15 10 2 5587
16 10 4 6826
17 10 3 5303
18 10 2 7530
19 10 3 7891
20 10 3 6776
21 10 2 7596
22 10 2 8138
23 10 4 9323
24 10 2 10508
25 10 3 7354
26 10 4 14249
27 10 3 10514
28 10 3 9696
29 10 2 14343
30 10 3 10541
1 20 0 798
2 20 1 926
3 20 2 1208
4 20 2 1376
5 20 2 1695
6 20 2 2117
7 20 3 3872
8 20 4 3951
9 20 3 4691
10 20 2 4938
11 20 2 3487
12 20 4 7761
13 20 3 7146
14 20 4 6856
15 20 3 7727
16 20 3 9212
17 20 3 9912
18 20 2 6157
19 20 4 16309
20 20 4 11902
21 20 5 19649
22 20 4 15103
23 20 3 14759
24 20 6 20925
25 20 4 19731
26 20 3 17850
27 20 7 22093
28 20 5 19008
29 20 5 24017
30 20 7 29322
1 50 1 749
2 50 2 1014
3 50 1 1273
4 50 2 1853
5 50 3 2426
6 50 3 3284
7 50 3 4384
8 50 4 6233
9 50 5 8959
10 50 4 8725
11 50 3 8382
12 50 5 15111
13 50 5 11568
14 50 4 13680
15 50 4 17272
16 50 5 20971
17 50 6 19375
18 50 6 26492
19 50 6 27893
20 50 6 27964
21 50 8 32935
22 50 7 40202
23 50 8 37426
24 50 4 32684
25 50 7 38589
26 50 7 41574
27 50 8 54564
28 50 7 47844
29 50 7 42220
30 50 8 58369
1 75 1 887
2 75 2 1276
3 75 2 1550
4 75 2 1790
5 75 2 2459
6 75 4 4141
7 75 4 4805
8 75 4 5078
9 75 5 10243
10 75 4 7231
11 75 5 10877
12 75 4 13763
13 75 3 11589
14 75 4 12851
15 75 5 18782
16 75 6 20356
17 75 6 26901
18 75 7 28954
19 75 5 30672
20 75 5 28592
21 75 5 25565
22 75 5 33121
23 75 6 42522
24 75 9 41632
25 75 7 46763
26 75 8 53543
27 75 6 53333
28 75 7 58067
29 75 9 61773
30 75 8 63032
1 100 1 817
2 100 2 1121
3 100 2 1503
4 100 3 2010
5 100 2 2406
6 100 4 3835
7 100 2 3751
8 100 4 7043
9 100 5 7158
10 100 5 7452
11 100 4 10563
12 100 4 13000
13 100 6 15013
14 100 6 16431
15 100 5 19977
16 100 6 25992
17 100 6 19710
18 100 7 24580
19 100 5 27469
20 100 8 35600
21 100 7 37364
22 100 9 37012
23 100 7 41108
24 100 7 41346
25 100 6 36363
26 100 8 49602
27 100 5 52592
28 100 6 44332
29 100 6 36825
30 100 7 66200
1 1 0 580
2 1 0 799
3 1 0 986
4 1 1 1386
5 1 0 1384
6 1 1 1723
7 1 0 2049
8 1 0 2236
9 1 1 2783
10 1 1 2828
11 1 0 2803
12 1 0 2996
13 1 0 3268
14 1 1 3817
15 1 1 4442
16 1 0 3983
17 1 1 4541
18 1 0 4408
19 1 0 4504
20 1 1 5256
21 1 0 4862
22 1 0 5300
23 1 1 5585
24 1 1 5820
25 1 0 5972
26 1 1 7380
27 1 0 6393
28 1 0 6618
29 1 1 8110
30 1 1 8109
1 10 1 762
2 10 1 976
3 10 2 1173
4 10 2 1231
5 10 1 1728
6 10 1 1750
7 10 2 1963
8 10 2 3165
9 10 1 2536
10 10 1 3053
11 10 2 3602
12 10 1 4259
13 10 2 4189
14 10 3 7634
15 10 2 5371
16 10 3 5958
17 10 2 6267
18 10 2 7303
19 10 2 5588
20 10 2 8071
21 10 2 7244
22 10 3 9104
23 10 1 7430
24 10 5 12398
25 10 4 13044
26 10 4 13685
27 10 3 11819
28 10 4 15921
29 10 2 9859
30 10 2 11781
1 20 1 844
2 20 0 858
3 20 2 1214
4 20 1 1649
5 20 1 1847
6 20 2 2154
7 20 2 3101
8 20 2 3082
9 20 3 5133
10 20 2 4158
11 20 4 6312
12 20 3 7012
13 20 3 6354
14 20 2 5359
15 20 3 9726
16 20 3 10008
17 20 3 9617
18 20 4 11175
19 20 4 14102
20 20 2 9165
21 20 5 19294
22 20 4 18186
23 20 5 21433
24 20 4 16545
25 20 5 26163
26 20 5 17603
27 20 4 16849
28 20 5 24455
29 20 4 20882
30 20 3 19836
1 50 1 759
2 50 2 1048
3 50 1 1233
4 50 3 1764
5 50 3 2471
6 50 5 3112
7 50 4 5058
8 50 2 4753
9 50 4 7192
10 50 4 7062
11 50 5 11189
12 50 3 8217
13 50 6 13151
14 50 3 8855
15 50 7 20408
16 50 5 18401
17 50 7 23254
18 50 6 28784
19 50 6 23934
20 50 7 39779
21 50 7 30978
22 50 7 28854
23 50 5 33197
24 50 6 43723
25 50 5 36153
26 50 7 45920
27 50 7 45798
28 50 5 31691
29 50 7 47190
30 50 5 44078
1 75 1 927
2 75 2 1155
3 75 2 1620
4 75 2 2126
5 75 2 2308
6 75 5 3535
7 75 2 3901
8 75 4 5718
9 75 3 6668
10 75 4 8650
11 75 4 13464
12 75 6 13157
13 75 3 11237
14 75 5 14143
15 75 5 15567
16 75 6 28948
17 75 6 17936
18 75 8 29694
19 75 6 27367
20 75 6 33081
21 75 6 32546
22 75 6 51490
23 75 8 49125
24 75 6 39359
25 75 6 42596
26 75 8 47485
27 75 7 58969
28 75 7 59568
29 75 8 57083
30 75 11 64870
1 100 1 953
2 100 1 1059
3 100 2 1480
4 100 2 1938
5 100 4 2915
6 100 3 3522
7 100 5 5354
8 100 4 5236
9 100 4 6363
10 100 5 8962
11 100 6 8710
12 100 4 9742
13 100 4 15776
14 100 4 14286
15 100 4 22530
16 100 6 16693
17 100 6 25988
18 100 6 25551
19 100 8 29759
20 100 6 34196
21 100 8 39610
