n r res t
1 10 0 3623
2 10 0 974
3 10 1 1325
4 10 0 1348
5 10 2 1927
6 10 2 2097
7 10 3 2841
8 10 1 2650
9 10 2 4197
10 10 1 3260
11 10 1 5950
12 10 2 4905
13 10 2 5165
14 10 2 5477
15 10 4 7833
16 10 2 7102
17 10 3 10416
18 10 2 6449
19 10 4 10789
20 10 3 9514
21 10 3 10570
22 10 3 7323
23 10 3 13205
24 10 3 11850
25 10 3 13047
26 10 5 17787
27 10 4 14864
28 10 3 13909
29 10 3 13710
30 10 4 17356
1 20 1 807
2 20 1 948
3 20 1 1310
4 20 1 1511
5 20 2 2155
6 20 2 2420
7 20 2 2657
8 20 3 4223
9 20 4 5713
10 20 3 6738
11 20 2 3865
12 20 4 7864
13 20 4 8079
14 20 4 8077
15 20 3 11492
16 20 4 10146
17 20 5 13788
18 20 4 15524
19 20 4 10824
20 20 2 12289
21 20 4 14691
22 20 3 10086
23 20 5 18429
24 20 5 42951
25 20 6 22413
26 20 4 24273
27 20 3 18564
28 20 6 28657
29 20 5 29571
30 20 5 24454
1 50 1 823
2 50 2 1094
3 50 2 1674
4 50 3 2088
5 50 3 3026
6 50 3 3615
7 50 3 4548
8 50 4 6156
9 50 5 11852
10 50 5 13934
11 50 5 15590
12 50 3 11832
13 50 5 16224
14 50 5 20038
15 50 3 17893
16 50 3 17848
17 50 5 21065
18 50 4 22326
19 50 7 33854
20 50 6 36280
21 50 5 26137
22 50 5 31903
23 50 6 39929
24 50 5 34596
25 50 6 34646
26 50 9 47177
27 50 8 44760
28 50 9 55759
29 50 5 34193
30 50 7 49530
1 75 1 967
2 75 1 921
3 75 3 1303
4 75 2 1721
5 75 3 2402
6 75 3 3403
7 75 3 3740
8 75 5 5189
9 75 5 6432
10 75 4 8122
11 75 5 11851
12 75 5 12546
13 75 6 17476
14 75 5 14643
15 75 4 19441
16 75 6 15316
17 75 7 20660
18 75 6 28107
19 75 7 40327
20 75 6 23524
21 75 7 28298
22 75 6 32032
23 75 9 33983
24 75 6 34694
25 75 7 39475
26 75 8 47931
27 75 8 40502
28 75 6 48338
29 75 8 53616
30 75 7 63359
1 100 1 934
2 100 2 1181
3 100 2 1485
4 100 3 2247
5 100 3 2321
6 100 3 3153
7 100 4 5713
8 100 6 7914
9 100 4 8425
10 100 3 8955
11 100 5 9326
12 100 7 19627
13 100 3 12310
14 100 6 19879
15 100 4 15921
16 100 6 24523
17 100 6 97806
18 100 5 23899
19 100 7 30833
20 100 5 30999
21 100 8 36197
22 100 7 38565
23 100 8 38046
24 100 5 37406
25 100 7 39089
26 100 7 50785
27 100 8 43573
28 100 8 54909
29 100 7 51584
30 100 7 55152
1 1000 1 4190
2 1000 2 5087
3 1000 2 4860
4 1000 3 5390
5 1000 3 5106
6 1000 4 7260
7 1000 3 7605
8 1000 4 11136
9 1000 5 21392
10 1000 3 11649
11 1000 5 15158
12 1000 5 18646
13 1000 4 16580
14 1000 6 24394
15 1000 5 23528
16 1000 6 30822
17 1000 5 23254
18 1000 7 29819
19 1000 6 28137
20 1000 6 29202
21 1000 6 24304
22 1000 6 25266
23 1000 6 31359
24 1000 10 39386
25 1000 7 34831
26 1000 6 31888
27 1000 7 31423
28 1000 7 61449
29 1000 9 44918
30 1000 6 41158
1 10 1 510
2 10 0 642
3 10 2 849
4 10 1 1038
5 10 0 1089
6 10 1 1399
7 10 2 2190
8 10 1 2101
9 10 2 2210
10 10 1 2150
11 10 2 2990
12 10 2 2248
13 10 3 3473
14 10 2 3059
15 10 1 3426
16 10 2 4566
17 10 3 5565
18 10 3 4396
19 10 5 7373
20 10 2 5470
21 10 2 6202
22 10 4 8017
23 10 2 5645
24 10 3 8744
25 10 2 7649
26 10 2 6220
27 10 2 9448
28 10 4 15524
29 10 4 13779
30 10 3 10890
1 20 1 561
2 20 1 844
3 20 1 1031
4 20 2 1644
5 20 2 2267
6 20 2 2585
7 20 1 2701
8 20 3 3882
