test_set n r res t
1 1 1 0 504
1 2 1 0 155
1 3 1 0 151
1 4 1 0 214
1 5 1 0 144
1 6 1 0 307
1 7 1 1 456
1 8 1 0 356
1 9 1 0 348
1 10 1 0 239
1 11 1 1 556
1 12 1 0 303
1 13 1 1 708
1 14 1 1 877
1 15 1 0 651
1 16 1 0 421
1 17 1 0 393
1 18 1 0 744
1 19 1 1 1444
1 20 1 0 950
1 21 1 1 1039
1 22 1 1 1283
1 23 1 0 522
1 24 1 1 745
1 25 1 0 553
1 26 1 1 839
1 27 1 0 595
1 28 1 1 700
1 29 1 0 625
1 30 1 0 3184
1 1 10 1 88
1 2 10 1 96
1 3 10 1 165
1 4 10 0 127
1 5 10 2 374
1 6 10 1 277
1 7 10 2 358
1 8 10 0 201
1 9 10 2 850
1 10 10 2 1318
1 11 10 2 1734
1 12 10 2 821
1 13 10 2 741
1 14 10 4 1573
1 15 10 3 1376
1 16 10 4 5364
1 17 10 2 3200
1 18 10 3 2813
1 19 10 2 2959
1 20 10 3 5828
1 21 10 4 3791
1 22 10 3 4336
1 23 10 1 1092
1 24 10 2 2225
1 25 10 3 5200
1 26 10 2 4247
1 27 10 3 5230
1 28 10 3 13535
1 29 10 6 36100
1 30 10 3 8504
1 1 20 0 58
1 2 20 2 132
1 3 20 2 233
1 4 20 2 354
1 5 20 1 368
1 6 20 2 448
1 7 20 2 704
1 8 20 3 1373
1 9 20 2 967
1 10 20 2 2575
1 11 20 3 3287
1 12 20 3 2805
1 13 20 3 2565
1 14 20 4 4720
1 15 20 3 5771
1 16 20 3 3593
1 17 20 3 7374
1 18 20 3 6171
1 19 20 2 3737
1 20 20 6 63657
1 21 20 4 10401
1 22 20 3 15457
1 23 20 5 23593
1 24 20 5 48601
1 25 20 3 10495
1 26 20 3 9786
1 27 20 6 66600
1 28 20 4 24334
1 29 20 6 57997
1 30 20 4 24714
1 1 50 1 66
1 2 50 2 125
1 3 50 3 293
1 4 50 3 499
1 5 50 3 644
1 6 50 3 1237
1 7 50 4 2177
1 8 50 3 2290
1 9 50 4 2822
1 10 50 4 6231
1 11 50 4 4001
1 12 50 5 8406
1 13 50 4 7378
