test_set n r res t
1 1 1 0 272
1 2 1 0 158
1 3 1 0 159
1 4 1 0 171
1 5 1 0 153
1 6 1 0 178
1 7 1 1 355
1 8 1 0 348
1 9 1 0 562
1 10 1 0 441
1 11 1 1 705
1 12 1 0 356
1 13 1 1 520
1 14 1 1 594
1 15 1 0 468
1 16 1 0 468
1 17 1 0 508
1 18 1 0 507
1 19 1 1 1028
1 20 1 0 561
1 21 1 1 734
1 22 1 1 1483
1 23 1 0 609
1 24 1 1 839
1 25 1 0 775
1 26 1 1 970
1 27 1 0 731
1 28 1 1 825
1 29 1 0 756
1 30 1 0 831
1 1 10 1 119
1 2 10 1 178
1 3 10 1 264
1 4 10 0 262
1 5 10 2 623
1 6 10 1 522
1 7 10 2 431
1 8 10 0 280
1 9 10 2 782
1 10 10 2 1410
1 11 10 2 1946
1 12 10 2 945
1 13 10 2 809
1 14 10 4 1241
1 15 10 3 1318
1 16 10 4 4062
1 17 10 2 2139
1 18 10 3 2788
1 19 10 2 3329
1 20 10 3 6073
1 21 10 4 2927
1 22 10 3 4451
1 23 10 1 1317
1 24 10 2 2517
1 25 10 3 5276
1 26 10 2 4715
1 27 10 3 5044
1 28 10 3 14883
1 29 10 6 27878
1 30 10 3 8986
1 1 20 0 83
1 2 20 2 182
1 3 20 2 334
1 4 20 2 397
1 5 20 1 488
1 6 20 2 553
1 7 20 2 974
1 8 20 3 1086
1 9 20 2 1079
1 10 20 2 1571
1 11 20 3 1453
1 12 20 3 1506
1 13 20 3 2226
1 14 20 4 3859
1 15 20 3 5624
1 16 20 3 3406
1 17 20 3 7398
1 18 20 3 5839
1 19 20 2 4152
1 20 20 6 53032
1 21 20 4 9605
1 22 20 3 16142
1 23 20 5 22370
1 24 20 5 25784
1 25 20 3 10481
1 26 20 3 6906
1 27 20 6 51841
1 28 20 4 21679
1 29 20 6 49235
1 30 20 4 24189
1 1 50 1 100
1 2 50 2 195
1 3 50 3 242
1 4 50 3 311
1 5 50 3 786
1 6 50 3 1214
1 7 50 4 1361
1 8 50 3 2575
1 9 50 4 2582
1 10 50 4 5845
1 11 50 4 3374
1 12 50 5 5768
1 13 50 4 7589
1 14 50 3 10183
1 15 50 7 15532
1 16 50 5 32460
1 17 50 5 18537
1 18 50 6 21377
1 19 50 4 18339
1 20 50 6 80793
1 21 50 3 29033
1 22 50 5 86299
1 23 50 6 79388
1 24 50 5 102225
1 25 50 6 122680
1 26 50 8 232640
1 27 50 6 139284
1 28 50 7 425510
1 29 50 7 276073
1 30 50 6 175954
1 1 75 1 103
1 2 75 2 109
1 3 75 2 116
1 4 75 4 178
1 5 75 2 502
1 6 75 4 803
1 7 75 5 1308
1 8 75 3 1587
1 9 75 5 3017
1 10 75 5 2640
1 11 75 5 4740
1 12 75 5 7140
1 13 75 6 11718
1 14 75 4 6976
1 15 75 6 22301
1 16 75 7 27334
1 17 75 8 65301
1 18 75 5 54047
1 19 75 7 50348
1 20 75 6 46758
1 21 75 6 47444
1 22 75 8 163909
1 23 75 6 116510
1 24 75 8 82171
1 25 75 7 172740
1 26 75 7 144879
1 27 75 8 120116
1 28 75 6 186668
1 29 75 8 518111
1 30 75 8 1119520
1 1 100 1 80
1 2 100 2 98
1 3 100 2 199
1 4 100 4 157
1 5 100 3 405
1 6 100 5 647
