test_set n r res t
1 1 1 0 3410
1 2 1 0 1004
1 3 1 0 1049
1 4 1 0 1306
1 5 1 0 1525
1 6 1 0 1902
1 7 1 1 2290
1 8 1 0 2318
1 9 1 0 2529
1 10 1 0 2729
1 11 1 1 3200
1 12 1 0 5978
1 13 1 1 3566
1 14 1 1 3932
1 15 1 0 3334
1 16 1 0 4214
1 17 1 0 4341
1 18 1 0 4500
1 19 1 1 5252
1 20 1 0 4859
1 21 1 1 7285
1 22 1 1 6309
1 23 1 0 5801
1 24 1 1 6306
1 25 1 0 6093
1 26 1 1 7018
1 27 1 0 6142
1 28 1 1 10482
1 29 1 0 6967
1 30 1 0 7570
1 1 10 1 795
1 2 10 1 1040
1 3 10 1 1571
1 4 10 0 1354
1 5 10 2 2118
1 6 10 1 2319
1 7 10 2 2288
1 8 10 0 2255
1 9 10 2 3567
1 10 10 2 5090
1 11 10 2 5713
1 12 10 2 4476
1 13 10 2 4494
1 14 10 4 5517
1 15 10 3 6199
1 16 10 4 9218
1 17 10 2 7553
1 18 10 3 9270
1 19 10 2 10099
1 20 10 3 11293
1 21 10 4 10030
1 22 10 3 11467
1 23 10 1 7218
1 24 10 2 9071
1 25 10 3 10304
1 26 10 2 13213
1 27 10 3 12513
1 28 10 3 13724
1 29 10 6 18810
1 30 10 3 17476
1 1 20 0 5468
1 2 20 2 1091
1 3 20 2 1465
1 4 20 2 1795
1 5 20 1 1975
1 6 20 2 2334
1 7 20 2 3180
1 8 20 3 4778
1 9 20 2 4129
1 10 20 2 4560
1 11 20 3 6019
1 12 20 3 5729
1 13 20 3 7365
1 14 20 4 9745
1 15 20 3 10020
1 16 20 3 8398
1 17 20 3 13532
1 18 20 3 12810
1 19 20 2 10219
1 20 20 6 19309
1 21 20 4 15937
1 22 20 3 17964
1 23 20 5 20400
1 24 20 5 21069
1 25 20 3 15567
1 26 20 3 13430
1 27 20 6 26223
1 28 20 4 21445
1 29 20 6 26498
1 30 20 4 22076
1 1 50 1 767
1 2 50 2 1127
1 3 50 3 1522
1 4 50 3 2007
1 5 50 3 2554
1 6 50 3 6372
1 7 50 4 6299
1 8 50 3 5080
1 9 50 4 6065
1 10 50 4 9482
1 11 50 4 8812
1 12 50 5 11090
1 13 50 4 10324
1 14 50 3 15675
1 15 50 7 23718
1 16 50 5 24212
1 17 50 5 19195
1 18 50 6 23486
1 19 50 4 21173
1 20 50 6 29382
1 21 50 3 24801
1 22 50 5 32376
1 23 50 6 35752
1 24 50 5 41695
1 25 50 6 43953
1 26 50 8 47181
1 27 50 6 46966
1 28 50 7 53523
1 29 50 7 55328
1 30 50 6 50913
1 1 75 1 1733
1 2 75 2 1265
1 3 75 2 1784
1 4 75 4 2225
1 5 75 2 2547
1 6 75 4 3946
1 7 75 5 7540
1 8 75 3 4647
1 9 75 5 9070
1 10 75 5 9664
1 11 75 5 10040
1 12 75 5 11938
1 13 75 6 19312
1 14 75 4 11822
1 15 75 6 16766
1 16 75 7 21840
1 17 75 8 29480
1 18 75 5 27754
1 19 75 7 33985
1 20 75 6 34553
1 21 75 6 32543
1 22 75 8 48547
1 23 75 6 35072
1 24 75 8 44930
1 25 75 7 49587
1 26 75 7 46748
1 27 75 8 46793
1 28 75 6 46621
1 29 75 8 52262
1 30 75 8 67022
1 1 100 1 1056
1 2 100 2 1185
1 3 100 2 1500
1 4 100 4 2069
1 5 100 3 2577
1 6 100 5 4538
1 7 100 4 4955
1 8 100 5 4749
1 9 100 4 9410
1 10 100 4 8194
1 11 100 4 10759
1 12 100 5 11784
1 13 100 5 14988
1 14 100 6 16916
1 15 100 7 21986
1 16 100 5 20072
1 17 100 7 26354
1 18 100 6 26619
1 19 100 6 28204
1 20 100 7 32922
1 21 100 8 40799
1 22 100 6 34318
1 23 100 7 34278
1 24 100 6 44467
1 25 100 8 49295
1 26 100 7 47585
1 27 100 8 48644
1 28 100 7 54194
1 29 100 6 115383
1 30 100 7 54386
2 1 1 0 5206
2 2 1 0 2485
2 3 1 0 2885
2 4 1 0 3165
2 5 1 0 3820
2 6 1 0 3841
2 7 1 0 5100
2 8 1 1 6644
2 9 1 0 4754
2 10 1 0 4919
2 11 1 1 6300
2 12 1 1 13756
2 13 1 0 6176
2 14 1 1 7486
2 15 1 0 6919
2 16 1 0 7541
2 17 1 1 8925
2 18 1 0 8095
2 19 1 1 8974
2 20 1 0 8997
2 21 1 1 13025
2 22 1 0 9888
2 23 1 0 10505
2 24 1 1 10832
2 25 1 0 11062
2 26 1 0 11928
2 27 1 0 11916
2 28 1 1 16260
2 29 1 0 13259
2 30 1 0 13573
2 1 10 1 1327
2 2 10 0 1861
2 3 10 0 2147
2 4 10 2 2832
2 5 10 2 3858
2 6 10 1 3415
2 7 10 1 4564
2 8 10 1 4945
2 9 10 3 8634
2 10 10 2 6334
2 11 10 1 6436
2 12 10 2 8642
2 13 10 2 9104
2 14 10 2 10921
2 15 10 2 14373
2 16 10 2 14083
2 17 10 2 11547
2 18 10 2 14061
2 19 10 3 19220
2 20 10 2 17104
2 21 10 3 23038
2 22 10 3 20391
2 23 10 4 27131
2 24 10 3 22619
2 25 10 3 31903
2 26 10 3 30437
2 27 10 2 22385
2 28 10 2 26828
2 29 10 3 30832
2 30 10 3 34506
2 1 20 1 7512
2 2 20 1 2126
2 3 20 1 2647
2 4 20 1 3142
2 5 20 3 5228
2 6 20 1 5013
2 7 20 3 7153
2 8 20 3 7048
2 9 20 3 8786
2 10 20 2 9651
2 11 20 6 14704
2 12 20 2 10839
2 13 20 4 17530
2 14 20 5 24980
2 15 20 2 10938
2 16 20 5 24992
2 17 20 3 22593
2 18 20 4 25043
2 19 20 5 29369
2 20 20 4 25367
2 21 20 3 32322
2 22 20 3 26052
2 23 20 4 29125
2 24 20 3 29666
2 25 20 6 43775
2 26 20 4 40426
2 27 20 2 32254
2 28 20 7 59335
2 29 20 3 26951
2 30 20 5 46267
2 1 50 1 2165
2 2 50 2 2591
2 3 50 2 3067
2 4 50 2 3993
2 5 50 3 5982
2 6 50 4 14004
2 7 50 3 9227
2 8 50 3 10658
2 9 50 3 12771
2 10 50 3 14289
2 11 50 5 18455
2 12 50 5 21912
2 13 50 4 19336
2 14 50 5 26398
2 15 50 6 30083
2 16 50 5 32731
2 17 50 4 23032
2 18 50 7 34032
2 19 50 5 28916
2 20 50 5 36429
2 21 50 6 38784
2 22 50 4 31363
2 23 50 5 44018
2 24 50 6 43549
2 25 50 4 34768
2 26 50 9 63353
2 27 50 6 53988
2 28 50 7 61195
2 29 50 10 58568
2 30 50 5 57081
2 1 75 1 1583
2 2 75 2 1984
2 3 75 3 2658
2 4 75 3 3627
2 5 75 3 4340
2 6 75 4 7647
2 7 75 4 9285
2 8 75 4 11857
2 9 75 3 11616
2 10 75 6 16003
2 11 75 5 19883
2 12 75 5 18469
2 13 75 4 16342
2 14 75 6 25110
2 15 75 5 22373
2 16 75 5 27120
2 17 75 6 29720
2 18 75 5 26676
2 19 75 7 38337
2 20 75 4 34764
2 21 75 5 35555
2 22 75 4 37383
2 23 75 7 52557
2 24 75 6 53441
2 25 75 7 72414
2 26 75 10 72178
2 27 75 6 59755
2 28 75 8 63661
2 29 75 6 60932
2 30 75 9 77345
2 1 100 1 1389
2 2 100 2 2019
2 3 100 2 2893
2 4 100 3 3933
2 5 100 3 4504
2 6 100 5 7296
2 7 100 3 9569
2 8 100 3 10272
2 9 100 5 12282
2 10 100 4 13394
2 11 100 4 16108
2 12 100 3 16046
2 13 100 4 22566
2 14 100 4 20614
2 15 100 5 20885
2 16 100 6 25763
2 17 100 6 27751
2 18 100 6 36796
2 19 100 5 21278
2 20 100 7 33909
2 21 100 8 42114
2 22 100 6 39282
2 23 100 6 33184
2 24 100 7 39061
2 25 100 6 42474
2 26 100 7 55192
2 27 100 8 53455
2 28 100 10 56602
2 29 100 7 49663
2 30 100 6 47307
3 1 1 0 10505
3 2 1 0 5074
3 3 1 0 4492
3 4 1 0 6538
3 5 1 0 7027
3 6 1 0 8077
3 7 1 0 9103
3 8 1 0 9948
3 9 1 1 11976
3 10 1 0 12446
3 11 1 0 13355
3 12 1 0 24536
3 13 1 0 15210
3 14 1 0 16148
3 15 1 1 20243
3 16 1 1 20264
3 17 1 1 22449
3 18 1 0 20484
3 19 1 1 23998
3 20 1 0 21736
3 21 1 1 33440
3 22 1 1 43048
3 23 1 0 25218
3 24 1 1 29060
3 25 1 0 27899
3 26 1 1 32897
3 27 1 1 31794
3 28 1 1 41600
3 29 1 1 32262
3 30 1 1 27622
3 1 10 1 2364
3 2 10 1 3035
3 3 10 0 3283
3 4 10 1 4416
3 5 10 1 4461
3 6 10 1 6363
3 7 10 2 6545
3 8 10 2 8338
3 9 10 3 13568
3 10 10 2 11225
3 11 10 1 9243
3 12 10 3 14418
3 13 10 3 15569
3 14 10 2 16017
3 15 10 2 18090
3 16 10 2 127903
3 17 10 4 28031
3 18 10 4 29618
3 19 10 3 24296
3 20 10 1 19034
3 21 10 2 28240
3 22 10 2 22758
3 23 10 4 32978
3 24 10 4 44588
3 25 10 4 39965
3 26 10 2 39595
3 27 10 2 28872
3 28 10 4 46928
3 29 10 3 51856
3 30 10 4 47877
3 1 20 1 10081
3 2 20 2 3273
3 3 20 1 4485
3 4 20 2 5375
3 5 20 2 6223
3 6 20 1 7949
3 7 20 1 6830
3 8 20 2 13051
3 9 20 4 17869
3 10 20 3 31749
3 11 20 3 16533
3 12 20 2 12835
3 13 20 4 27215
3 14 20 3 20918
3 15 20 1 13515
3 16 20 2 17252
3 17 20 4 26690
3 18 20 3 31994
3 19 20 6 45040
3 20 20 4 33738
3 21 20 3 25760
3 22 20 3 35384
3 23 20 4 38317
3 24 20 2 31371
3 25 20 4 44578
3 26 20 7 64589
3 27 20 6 56929
3 28 20 5 50246
3 29 20 4 46668
3 30 20 5 56253
3 1 50 1 2017
3 2 50 1 2475
3 3 50 2 3881
3 4 50 2 4553
3 5 50 3 6634
3 6 50 2 14634
3 7 50 3 10708
3 8 50 4 14160
3 9 50 4 16691
3 10 50 3 17825
3 11 50 5 31944
3 12 50 5 35108
3 13 50 6 31077
3 14 50 4 35203
3 15 50 3 39161
3 16 50 6 37830
3 17 50 7 50730
3 18 50 5 60559
3 19 50 7 86834
3 20 50 6 56350
3 21 50 6 69370
3 22 50 6 65895
3 23 50 9 83713
3 24 50 5 78449
3 25 50 7 97683
3 26 50 7 111464
3 27 50 8 70005
3 28 50 6 63432
3 29 50 8 77615
3 30 50 7 70536
3 1 75 1 1404
3 2 75 2 1743
3 3 75 2 2139
3 4 75 3 3009
3 5 75 3 4117
3 6 75 3 4218
3 7 75 4 7829
3 8 75 6 9881
3 9 75 4 10343
3 10 75 3 11439
3 11 75 5 12363
3 12 75 7 23792
3 13 75 3 15931
3 14 75 6 35971
3 15 75 4 25827
3 16 75 6 30658
3 17 75 6 33126
3 18 75 5 29679
3 19 75 7 37712
3 20 75 5 39775
3 21 75 8 54658
3 22 75 7 57086
3 23 75 8 46024
3 24 75 5 55295
3 25 75 7 58808
3 26 75 7 68012
3 27 75 8 58042
3 28 75 8 70906
3 29 75 7 75636
3 30 75 7 69243
3 1 100 1 1617
3 2 100 2 2089
3 3 100 2 3080
3 4 100 3 4050
3 5 100 3 5427
3 6 100 4 7820
3 7 100 3 8545
3 8 100 4 11809
3 9 100 5 15932
3 10 100 3 13111
3 11 100 5 17805
3 12 100 5 21454
3 13 100 4 17598
3 14 100 6 26912
3 15 100 5 32178
3 16 100 6 34589
3 17 100 5 25809
3 18 100 7 32984
3 19 100 6 36423
3 20 100 6 51096
3 21 100 6 42403
3 22 100 6 44826
3 23 100 6 55761
3 24 100 10 77181
3 25 100 7 64784
3 26 100 6 58137
3 27 100 7 57075
3 28 100 7 75974
3 29 100 9 83263
3 30 100 6 76523
