test_set n r res t
1 1 1 0 347
1 2 1 0 219
1 3 1 0 438
1 4 1 0 441
1 5 1 0 767
1 6 1 0 2278
1 7 1 1 3913
1 8 1 0 5865
1 9 1 0 10244
1 10 1 0 18846
1 11 1 1 38488
1 12 1 0 76598
1 13 1 1 150102
1 14 1 1 300012
1 15 1 0 619633
1 16 1 0 1207418
1 17 1 0 2409646
1 18 1 0 4809469
1 19 1 1 9621479
1 20 1 0 19240441
1 21 1 1 38484092
1 22 1 1 76999640
1 23 1 0 154068525
1 24 1 1 308552869
1 25 1 0 615827011
1 26 1 1 1240249353
1 27 1 0 2498440001
1 28 1 1 4941494888
1 29 1 0 9920728294
1 30 1 0 19818697516
1 1 10 1 89
1 2 10 1 147
1 3 10 1 228
1 4 10 0 390
1 5 10 2 807
1 6 10 1 1430
1 7 10 2 2642
1 8 10 0 4760
1 9 10 2 9808
1 10 10 2 19412
1 11 10 2 40124
1 12 10 2 75425
1 13 10 2 150048
1 14 10 4 299876
1 15 10 3 606250
1 16 10 4 1204175
1 17 10 2 2408763
1 18 10 3 4821994
1 19 10 2 9625261
1 20 10 3 19249921
1 21 10 4 38478042
1 22 10 3 79175846
1 23 10 1 154299173
1 24 10 2 309116458
1 25 10 3 617947931
1 26 10 2 1242290060
1 27 10 3 2477211443
1 28 10 3 4945361478
1 29 10 6 10016428000
1 30 10 3 20452933784
1 1 20 0 100
1 2 20 2 145
1 3 20 2 329
1 4 20 2 477
1 5 20 1 803
1 6 20 2 1410
1 7 20 2 2721
1 8 20 3 5264
1 9 20 2 9924
1 10 20 2 19365
1 11 20 3 38375
1 12 20 3 75608
1 13 20 3 150796
1 14 20 4 301024
1 15 20 3 601043
1 16 20 3 1200405
1 17 20 3 2405549
1 18 20 3 5036484
1 19 20 2 9648277
1 20 20 6 19262615
1 21 20 4 38755229
1 22 20 3 76972678
1 23 20 5 155016288
1 24 20 5 311866238
1 25 20 3 616961098
1 26 20 3 1242789183
1 27 20 6 2494832863
1 28 20 4 4970419188
1 29 20 6 10036266105
1 30 20 4 19807531093
1 1 50 1 103
1 2 50 2 135
1 3 50 3 238
1 4 50 3 553
1 5 50 3 987
1 6 50 3 1676
1 7 50 4 3101
1 8 50 3 5666
1 9 50 4 10360
1 10 50 4 20384
1 11 50 4 39107
1 12 50 5 78123
1 13 50 4 152028
1 14 50 3 303035
1 15 50 7 620739
1 16 50 5 1274446
1 17 50 5 2525585
1 18 50 6 4815893
1 19 50 4 9622550
1 20 50 6 19276938
1 21 50 3 38487024
1 22 50 5 76998367
1 23 50 6 154087255
1 24 50 5 308085251
1 25 50 6 617321296
1 26 50 8 1243818189
1 27 50 6 2479003550
1 28 50 7 4957435878
1 29 50 7 9944573418
1 30 50 6 19933147821
1 1 75 1 123
1 2 75 2 153
1 3 75 2 311
1 4 75 4 500
1 5 75 2 926
1 6 75 4 1532
1 7 75 5 2792
1 8 75 3 5773
1 9 75 5 10954
1 10 75 5 20530
1 11 75 5 40010
1 12 75 5 77599
1 13 75 6 154909
1 14 75 4 304615
1 15 75 6 607646
1 16 75 7 1213561
1 17 75 8 2450314
1 18 75 5 4835348
1 19 75 7 9649368
1 20 75 6 19316027
1 21 75 6 38537926
1 22 75 8 77162222
1 23 75 6 154690385
1 24 75 8 308240685
1 25 75 7 616856332
1 26 75 7 1242434566
1 27 75 8 2480902802
1 28 75 6 4944729156
1 29 75 8 10151341848
1 30 75 8 22271119267
1 1 100 1 104
1 2 100 2 139
1 3 100 2 297
1 4 100 4 533
1 5 100 3 987
1 6 100 5 3562
1 7 100 4 5611
1 8 100 5 9621
1 9 100 4 21953
1 10 100 4 33945
1 11 100 4 46402
1 12 100 5 84406
1 13 100 5 159279
1 14 100 6 304691
1 15 100 7 619321
1 16 100 5 1222280
1 17 100 7 2424125
1 18 100 6 4829909
1 19 100 6 9668388
1 20 100 7 19341497
1 21 100 8 38672418
1 22 100 6 77704554
1 23 100 7 171923717
1 24 100 6 315126027
1 25 100 8 621024056
1 26 100 7 1259500030
1 27 100 8 2546049180
1 28 100 7 5115044956
1 29 100 6 10000735540
1 30 100 7 20253261402
2 1 1 0 271
2 2 1 0 180
2 3 1 0 300
2 4 1 0 538
2 5 1 0 1006
2 6 1 0 1807
2 7 1 0 3935
2 8 1 1 7596
2 9 1 0 15246
2 10 1 0 30245
2 11 1 1 61132
2 12 1 1 122991
2 13 1 0 244459
2 14 1 1 491074
2 15 1 0 974074
2 16 1 0 1943187
2 17 1 1 2768375
2 18 1 0 4890878
2 19 1 1 9746647
2 20 1 0 19260798
2 21 1 1 40346046
2 22 1 0 77965353
2 23 1 0 157945469
2 24 1 1 309635073
2 25 1 0 622553526
2 26 1 0 1237728941
2 27 1 0 2499630060
2 28 1 1 4970586363
2 29 1 0 9962799308
2 30 1 0 19979141614
2 1 10 1 99
2 2 10 0 111
2 3 10 0 194
2 4 10 2 500
2 5 10 2 832
2 6 10 1 1440
2 7 10 1 2576
2 8 10 1 4839
2 9 10 3 9950
2 10 10 2 19209
2 11 10 1 37708
2 12 10 2 75131
2 13 10 2 149934
2 14 10 2 299402
2 15 10 2 598189
2 16 10 2 1197930
2 17 10 2 2402331
2 18 10 2 4805669
2 19 10 3 9620366
2 20 10 2 19208690
2 21 10 3 38403024
2 22 10 3 76804879
2 23 10 4 166998596
2 24 10 3 312072159
2 25 10 3 650841005
2 26 10 3 1241218641
2 27 10 2 2536965868
2 28 10 2 5006163980
2 29 10 3 9938917055
2 30 10 3 19784964641
2 1 20 1 103
2 2 20 1 142
2 3 20 1 256
2 4 20 1 471
2 5 20 3 730
2 6 20 1 1491
2 7 20 3 2684
2 8 20 3 5098
2 9 20 3 9894
2 10 20 2 19182
2 11 20 6 38375
2 12 20 2 75409
2 13 20 4 151415
2 14 20 5 307268
2 15 20 2 605165
2 16 20 5 1199878
2 17 20 3 2399255
2 18 20 4 4810410
2 19 20 5 9607762
2 20 20 4 19197453
2 21 20 3 38416536
2 22 20 3 77013454
2 23 20 4 154040841
2 24 20 3 307969348
2 25 20 6 618820540
2 26 20 4 1238644901
2 27 20 2 2466164646
2 28 20 7 4932456512
2 29 20 3 9945824017
2 30 20 5 19812821151
2 1 50 1 103
2 2 50 2 179
2 3 50 2 283
2 4 50 2 497
2 5 50 3 880
2 6 50 4 1723
2 7 50 3 2972
2 8 50 3 5594
2 9 50 3 10581
2 10 50 3 20130
2 11 50 5 40197
2 12 50 5 78392
2 13 50 4 152991
2 14 50 5 318791
2 15 50 6 607653
2 16 50 5 1208131
2 17 50 4 2407696
2 18 50 7 4822049
2 19 50 5 9606619
2 20 50 5 19217802
2 21 50 6 38427829
2 22 50 4 76828891
2 23 50 5 157050377
2 24 50 6 312180714
2 25 50 4 626568394
2 26 50 9 1230983096
2 27 50 6 2519031972
2 28 50 7 4979376251
2 29 50 10 9879383940
2 30 50 5 19821995770
2 1 75 1 84
2 2 75 2 165
2 3 75 3 268
2 4 75 3 537
2 5 75 3 1030
2 6 75 4 1874
2 7 75 4 3136
2 8 75 4 5705
2 9 75 3 10330
2 10 75 6 20709
2 11 75 5 39966
2 12 75 5 78369
2 13 75 4 152232
2 14 75 6 307145
2 15 75 5 604637
2 16 75 5 1206945
2 17 75 6 2406324
2 18 75 5 4803660
2 19 75 7 9628105
2 20 75 4 19213020
2 21 75 5 38458348
2 22 75 4 76934575
2 23 75 7 154124185
2 24 75 6 308404541
2 25 75 7 618046597
2 26 75 10 1246585070
2 27 75 6 2469183071
2 28 75 8 4954814337
2 29 75 6 9865203494
2 30 75 9 19772820716
2 1 100 1 120
2 2 100 2 126
2 3 100 2 277
2 4 100 3 500
2 5 100 3 961
2 6 100 5 1705
2 7 100 3 3085
2 8 100 3 5808
2 9 100 5 10656
2 10 100 4 20002
2 11 100 4 39374
2 12 100 3 76954
2 13 100 4 151988
2 14 100 4 303749
2 15 100 5 605750
2 16 100 6 1211714
2 17 100 6 2409505
2 18 100 6 4831464
2 19 100 5 9602979
2 20 100 7 19220135
2 21 100 8 38535896
2 22 100 6 76850023
2 23 100 6 153750783
2 24 100 7 307417847
2 25 100 6 615125328
2 26 100 7 1282710023
2 27 100 8 2503533984
2 28 100 10 4931006173
2 29 100 7 9858081404
2 30 100 6 19805338883
3 1 1 0 1133
3 2 1 0 642
3 3 1 0 903
3 4 1 0 1656
3 5 1 0 2611
3 6 1 0 4744
3 7 1 0 9169
3 8 1 0 17750
3 9 1 1 36283
3 10 1 0 70785
3 11 1 0 140244
3 12 1 0 312006
3 13 1 0 576086
3 14 1 0 1526503
3 15 1 1 2431870
3 16 1 1 4540486
3 17 1 1 8198207
3 18 1 0 10468975
3 19 1 1 14511655
3 20 1 0 20688360
3 21 1 1 39184109
3 22 1 1 77704754
3 23 1 0 155991609
3 24 1 1 309446750
3 25 1 0 617941624
3 26 1 1 1252332372
3 27 1 1 2506422351
3 28 1 1 4944541881
3 29 1 1 9896691997
3 30 1 1 19786416654
3 1 10 1 144
3 2 10 1 209
3 3 10 0 357
3 4 10 1 433
3 5 10 1 1192
3 6 10 1 1383
3 7 10 2 3107
3 8 10 2 5572
3 9 10 3 9937
3 10 10 2 19047
3 11 10 1 38103
3 12 10 3 78783
