n r res t
1000 1000 41 23271386
1000 1500 52 32739819
1000 2000 62 30884960
1000 2500 65 28547994
1000 3000 63 29955931
1000 3500 71 33835667
1000 4000 76 39792252
1000 4500 76 42094419
1000 5000 84 46937220
1000 5500 83 49260563
1000 6000 99 53928353
1000 6500 94 60743603
1000 7000 106 60535041
1000 7500 104 64005065
1000 8000 100 67374306
1000 8500 114 73726315
1000 9000 105 76622679
1000 9500 119 79831501
1000 10000 100 83456565
1500 1000 48 27793286
1500 1500 55 26781381
1500 2000 61 35159434
1500 2500 71 41151333
1500 3000 70 50107347
1500 3500 76 51668976
1500 4000 79 58673525
1500 4500 79 64646681
1500 5000 94 72772714
1500 5500 89 81259730
1500 6000 101 85858802
1500 6500 97 93258890
1500 7000 107 92818961
1500 7500 104 97533753
1500 8000 109 107134371
1500 8500 107 113738771
1500 9000 122 120370338
1500 9500 121 129164930
1500 10000 125 137424862
2000 1000 50 33263845
2000 1500 60 36585391
2000 2000 67 47257765
2000 2500 71 59478517
2000 3000 74 67589676
2000 3500 86 75619003
2000 4000 80 84811034
2000 4500 81 93993740
2000 5000 92 102533715
2000 5500 113 118596529
2000 6000 110 118859247
2000 6500 116 127511306
2000 7000 105 129097524
2000 7500 109 138459840
2000 8000 110 153712515
2000 8500 114 160169207
2000 9000 120 165312810
2000 9500 128 170374901
2000 10000 131 189105857
2500 1000 50 32523664
2500 1500 56 44841766
2500 2000 64 57081017
2500 2500 78 67707256
2500 3000 76 79924227
2500 3500 77 93965166
2500 4000 92 99584790
2500 4500 90 108855112
2500 5000 100 120087056
2500 5500 99 133846900
2500 6000 108 141710655
2500 6500 117 151603836
2500 7000 106 161227405
2500 7500 121 172038802
2500 8000 124 183758114
2500 8500 117 195350397
2500 9000 132 201523892
2500 9500 120 211007073
2500 10000 139 224038322
3000 1000 52 41654575
3000 1500 56 57761819
3000 2000 67 76333927
3000 2500 82 86442181
3000 3000 83 96736709
3000 3500 83 106970137
3000 4000 92 123086963
3000 4500 99 134650784
3000 5000 106 144923015
3000 5500 102 160979738
3000 6000 110 174193498
3000 6500 108 189504256
3000 7000 127 205534266
3000 7500 115 217041960
3000 8000 120 226053674
3000 8500 112 242363617
3000 9000 126 247859290
3000 9500 125 254945530
3000 10000 132 264733971
3500 1000 50 47058876
3500 1500 64 67954236
3500 2000 73 80993051
3500 2500 80 99880171
3500 3000 91 114369510
3500 3500 94 129765212
3500 4000 85 157679876
3500 4500 97 166485935
3500 5000 105 174758068
3500 5500 105 191317435
3500 6000 105 204879237
3500 6500 118 222615761
3500 7000 121 230832014
3500 7500 123 246803004
3500 8000 133 265255646
3500 8500 127 273528088
3500 9000 133 289101517
3500 9500 142 303698347
3500 10000 139 324571378
4000 1000 46 54865249
4000 1500 69 72258503
4000 2000 77 90161945
4000 2500 81 110577831
4000 3000 89 130662665
4000 3500 96 150769221
4000 4000 88 168504704
4000 4500 96 191881444
4000 5000 98 200010116
4000 5500 116 219597412
4000 6000 115 232080013
4000 6500 115 249883978
4000 7000 131 267359326
4000 7500 128 283096932
4000 8000 138 303573994
4000 8500 126 321272864
4000 9000 132 340707353
4000 9500 148 352298476
4000 10000 140 377797336
4500 1000 51 92083560
4500 1500 61 78301387
4500 2000 72 102503019
4500 2500 81 124127859
4500 3000 77 143878090
4500 3500 87 166299980
4500 4000 108 190467303
4500 4500 99 203688443
4500 5000 106 225608870
4500 5500 102 247355399
4500 6000 113 264122352
4500 6500 125 282475571
4500 7000 127 301440309
