test_set n r res t
1 10 10 10 27905
1 10 20 10 28777
1 11 20 11 59634
1 12 20 12 113517
1 13 20 13 163411
1 14 20 14 335048
1 15 20 15 831148
1 16 20 16 1380366
1 17 20 17 3050809
1 18 20 18 5705778
1 19 20 19 11176226
1 20 20 20 21600929
1 10 50 10 19919
1 11 50 11 50626
1 12 50 12 79337
1 13 50 13 168168
1 14 50 14 328323
1 15 50 15 659410
1 16 50 16 1291033
1 17 50 17 2617012
1 18 50 18 5267043
1 19 50 19 10515689
1 20 50 20 21632599
1 21 50 21 50639914
1 22 50 22 96185135
1 23 50 23 189794317
1 24 50 24 359538765
1 25 50 25 670442247
1 26 50 26 1383433091
1 27 50 27 2729019869
1 28 50 28 5526687220
1 29 50 29 11085311471
1 30 50 30 21912539037
1 10 75 10 20001
1 11 75 11 39483
1 12 75 12 78780
1 13 75 13 157613
1 14 75 14 315027
1 15 75 15 633554
1 16 75 16 1275467
1 17 75 17 2529314
1 18 75 18 5144586
1 19 75 19 10355199
1 20 75 20 21574846
1 21 75 21 46701433
1 22 75 22 89047027
1 23 75 23 177178336
1 24 75 24 339900153
1 25 75 25 683623687
1 26 75 26 1389683621
1 27 75 27 2725903491
1 28 75 28 5482944557
1 29 75 29 10895954286
1 30 75 30 21749592534
1 10 100 10 19884
1 11 100 11 39284
1 12 100 12 78820
1 13 100 13 157486
1 14 100 14 333547
1 15 100 15 630046
1 16 100 16 1267906
1 17 100 17 2767193
1 18 100 18 5293668
1 19 100 19 11375859
1 20 100 20 20841032
1 21 100 21 41829718
1 22 100 22 86956455
1 23 100 23 193717057
1 24 100 24 366505489
1 25 100 25 672672221
1 26 100 26 1347206294
1 27 100 27 2742666366
1 28 100 28 5435228873
1 29 100 29 10893280801
1 30 100 30 21982387994
