test_set n r res t
1 10 10 10 1149
1 10 20 10 839
1 11 20 11 949
1 12 20 12 1078
1 13 20 13 710
1 14 20 14 856
1 15 20 15 756
1 16 20 16 921
1 17 20 17 1357
1 18 20 18 1898
1 19 20 19 1647
1 20 20 20 1821
1 10 50 10 764
1 11 50 11 751
1 12 50 12 955
1 13 50 13 1019
1 14 50 14 1396
1 15 50 15 779
1 16 50 16 804
1 17 50 17 1300
1 18 50 18 978
1 19 50 19 967
1 20 50 20 983
1 21 50 21 1015
1 22 50 22 1040
1 23 50 23 1129
1 24 50 24 1155
1 25 50 25 1162
1 26 50 26 1239
1 27 50 27 2221
1 28 50 28 1744
1 29 50 29 2065
1 30 50 30 1422
1 10 75 10 869
1 11 75 11 926
1 12 75 12 602
1 13 75 13 1135
1 14 75 14 1232
1 15 75 15 1286
1 16 75 16 1447
1 17 75 17 753
1 18 75 18 846
1 19 75 19 1350
1 20 75 20 911
1 21 75 21 949
1 22 75 22 1048
1 23 75 23 1113
1 24 75 24 1114
1 25 75 25 1735
1 26 75 26 1185
1 27 75 27 1247
1 28 75 28 1356
1 29 75 29 1308
1 30 75 30 1361
1 10 100 10 459
1 11 100 11 582
1 12 100 12 556
1 13 100 13 627
1 14 100 14 618
1 15 100 15 675
1 16 100 16 766
1 17 100 17 795
1 18 100 18 867
1 19 100 19 872
1 20 100 20 965
1 21 100 21 964
1 22 100 22 992
1 23 100 23 1039
1 24 100 24 1146
1 25 100 25 1151
1 26 100 26 1536
1 27 100 27 1181
1 28 100 28 2199
1 29 100 29 1350
1 30 100 30 1352
