test_set n r res t
1 10 10 10 7425
1 10 20 10 4113
1 11 20 11 5882
1 12 20 12 7422
1 13 20 13 9334
1 14 20 14 11476
1 15 20 15 13799
1 16 20 16 16646
1 17 20 17 19344
1 18 20 18 23773
1 19 20 19 27323
1 20 20 20 32148
1 10 50 10 4062
1 11 50 11 5329
1 12 50 12 7432
1 13 50 13 8724
1 14 50 14 11398
1 15 50 15 13350
1 16 50 16 16137
1 17 50 17 19469
1 18 50 18 31214
1 19 50 19 27425
1 20 50 20 31438
1 21 50 21 36434
1 22 50 22 41882
1 23 50 23 48115
1 24 50 24 54212
1 25 50 25 61872
1 26 50 26 69553
1 27 50 27 77471
1 28 50 28 98485
1 29 50 29 111064
1 30 50 30 113259
1 10 75 10 6442
1 11 75 11 5396
1 12 75 12 6912
1 13 75 13 8695
1 14 75 14 11212
1 15 75 15 13298
1 16 75 16 16142
1 17 75 17 19361
1 18 75 18 23915
1 19 75 19 27254
1 20 75 20 31504
1 21 75 21 37752
1 22 75 22 41592
1 23 75 23 51709
1 24 75 24 78886
1 25 75 25 69727
1 26 75 26 74513
1 27 75 27 77166
1 28 75 28 87907
1 29 75 29 95367
1 30 75 30 105467
1 10 100 10 4046
1 11 100 11 8743
1 12 100 12 6943
1 13 100 13 11538
1 14 100 14 10835
1 15 100 15 14634
1 16 100 16 19765
1 17 100 17 19194
1 18 100 18 22857
1 19 100 19 27218
1 20 100 20 31316
1 21 100 21 38482
1 22 100 22 65418
1 23 100 23 47884
1 24 100 24 54207
1 25 100 25 61227
1 26 100 26 68795
1 27 100 27 77019
1 28 100 28 85847
1 29 100 29 95366
1 30 100 30 109027
