test_set n r res t
1 10 10 10 33265
1 10 20 10 33270
1 11 20 11 68759
1 12 20 12 106839
1 13 20 13 196865
1 14 20 14 530067
1 15 20 15 1087759
1 16 20 16 2186787
1 17 20 17 3952037
1 18 20 18 7823852
1 19 20 19 10781624
1 20 20 20 20857808
1 10 50 10 18825
1 11 50 11 37542
1 12 50 12 75335
1 13 50 13 150302
1 14 50 14 300541
1 15 50 15 600069
1 16 50 16 1202084
1 17 50 17 2902923
1 18 50 18 5769249
1 19 50 19 10650275
1 20 50 20 19523596
1 21 50 21 38725756
1 22 50 22 77880972
1 23 50 23 157060020
1 24 50 24 311657474
1 25 50 25 620944905
1 26 50 26 1240727565
1 27 50 27 2482555689
1 28 50 28 4970952129
1 29 50 29 10038528920
1 30 50 30 19968215327
1 10 75 10 18727
1 11 75 11 37477
1 12 75 12 75538
1 13 75 13 150402
1 14 75 14 300399
1 15 75 15 599808
1 16 75 16 1204226
1 17 75 17 2407416
1 18 75 18 4817154
1 19 75 19 9639721
1 20 75 20 19297630
1 21 75 21 38572369
1 22 75 22 77254034
1 23 75 23 163367703
1 24 75 24 309980976
1 25 75 25 619818576
1 26 75 26 1239661739
1 27 75 27 2481595517
1 28 75 28 5144362187
1 29 75 29 10231274090
1 30 75 30 19964066092
1 10 100 10 18763
1 11 100 11 37486
1 12 100 12 80194
1 13 100 13 157234
1 14 100 14 300368
1 15 100 15 599988
1 16 100 16 1201953
1 17 100 17 2410436
1 18 100 18 4994783
1 19 100 19 9715237
1 20 100 20 20347561
1 21 100 21 39024186
1 22 100 22 77807785
1 23 100 23 155882179
1 24 100 24 309933695
1 25 100 25 621488673
1 26 100 26 1271281085
1 27 100 27 2554941715
1 28 100 28 5001769576
1 29 100 29 10142171109
1 30 100 30 20124453219
