test_set n r res t
1 10 10 10 6800
1 10 20 10 5806
1 11 20 11 9843
1 12 20 12 7166
1 13 20 13 8163
1 14 20 14 9011
1 15 20 15 10301
1 16 20 16 11533
1 17 20 17 12019
1 18 20 18 13231
1 19 20 19 14486
1 20 20 20 18001
1 10 50 10 6304
1 11 50 11 6597
1 12 50 12 7174
1 13 50 13 8752
1 14 50 14 9244
1 15 50 15 10619
1 16 50 16 14166
1 17 50 17 12862
1 18 50 18 14250
1 19 50 19 15431
1 20 50 20 16858
1 21 50 21 18225
1 22 50 22 19870
1 23 50 23 21254
1 24 50 24 22924
1 25 50 25 26671
1 26 50 26 25947
1 27 50 27 27394
1 28 50 28 29549
1 29 50 29 32898
1 30 50 30 32592
1 10 75 10 6101
1 11 75 11 6438
1 12 75 12 7530
1 13 75 13 8619
1 14 75 14 9202
1 15 75 15 10688
1 16 75 16 11045
1 17 75 17 12785
1 18 75 18 13070
1 19 75 19 16000
1 20 75 20 16070
1 21 75 21 18079
1 22 75 22 19461
1 23 75 23 21466
1 24 75 24 22508
1 25 75 25 24167
1 26 75 26 27348
1 27 75 27 27506
1 28 75 28 29655
1 29 75 29 31088
1 30 75 30 33165
1 10 100 10 5953
1 11 100 11 6258
1 12 100 12 7485
1 13 100 13 8702
1 14 100 14 9292
1 15 100 15 10228
1 16 100 16 11774
1 17 100 17 12476
1 18 100 18 14285
1 19 100 19 15573
1 20 100 20 15995
1 21 100 21 17871
1 22 100 22 18938
1 23 100 23 20613
1 24 100 24 22387
1 25 100 25 26597
1 26 100 26 26391
1 27 100 27 27387
1 28 100 28 28786
1 29 100 29 31250
1 30 100 30 33176
