test_set n r res t
1 10 10 9 37107
1 10 20 9 36535
1 11 20 10 72255
1 12 20 11 112541
1 13 20 12 227155
1 14 20 13 471021
1 15 20 14 922162
1 16 20 15 2278035
1 17 20 16 4285068
1 18 20 17 5922257
1 19 20 18 11469829
1 20 20 19 21943242
1 10 50 9 19944
1 11 50 10 40122
1 12 50 11 78566
1 13 50 12 158191
1 14 50 13 314533
1 15 50 14 628514
1 16 50 15 1261054
1 17 50 16 2559758
1 18 50 17 5560514
1 19 50 18 10829184
1 20 50 19 21320974
1 21 50 20 41318418
1 22 50 21 83236366
1 23 50 22 165921497
1 24 50 23 329780871
1 25 50 24 655806243
1 26 50 25 1317117207
1 27 50 26 2639670884
1 28 50 27 5461465798
1 29 50 28 10599854398
1 30 50 29 21062237446
1 10 75 9 20516
1 11 75 10 39503
1 12 75 11 78818
1 13 75 12 159692
1 14 75 13 315261
1 15 75 14 629759
1 16 75 15 1260576
1 17 75 16 2519137
1 18 75 17 5093845
1 19 75 18 10115354
1 20 75 19 20319450
1 21 75 20 40453529
1 22 75 21 80988559
1 23 75 22 161990261
1 24 75 23 325113113
1 25 75 24 648638593
1 26 75 25 1297613789
1 27 75 26 2618524415
1 28 75 27 5205310101
1 29 75 28 10828523197
1 30 75 29 22325263096
1 10 100 9 19789
1 11 100 10 39416
1 12 100 11 83465
1 13 100 12 158045
1 14 100 13 314564
1 15 100 14 628422
1 16 100 15 1289633
1 17 100 16 2533690
1 18 100 17 5045737
1 19 100 18 10731955
1 20 100 19 24147167
1 21 100 20 46548211
1 22 100 21 85269368
1 23 100 22 169061416
1 24 100 23 346295777
1 25 100 24 682126335
1 26 100 25 1358545325
1 27 100 26 2760688273
1 28 100 27 5419448218
1 29 100 28 11264422232
1 30 100 29 21992522277
