test_set n r res t
1 10 10 9 556
1 10 20 9 366
1 11 20 10 358
1 12 20 11 342
1 13 20 12 370
1 14 20 13 397
1 15 20 14 459
1 16 20 15 458
1 17 20 16 473
1 18 20 17 517
1 19 20 18 554
1 20 20 19 961
1 10 50 9 338
1 11 50 10 577
1 12 50 11 610
1 13 50 12 562
1 14 50 13 426
1 15 50 14 819
1 16 50 15 495
1 17 50 16 496
1 18 50 17 869
1 19 50 18 555
1 20 50 19 906
1 21 50 20 901
1 22 50 21 1091
1 23 50 22 1086
1 24 50 23 1058
1 25 50 24 1106
1 26 50 25 722
1 27 50 26 1273
1 28 50 27 1305
1 29 50 28 891
1 30 50 29 812
1 10 75 9 531
1 11 75 10 529
1 12 75 11 817
1 13 75 12 407
1 14 75 13 676
1 15 75 14 438
1 16 75 15 544
1 17 75 16 470
1 18 75 17 930
1 19 75 18 544
1 20 75 19 560
1 21 75 20 660
1 22 75 21 614
1 23 75 22 714
1 24 75 23 728
1 25 75 24 667
1 26 75 25 837
1 27 75 26 761
1 28 75 27 772
1 29 75 28 760
1 30 75 29 920
1 10 100 9 324
1 11 100 10 309
1 12 100 11 381
1 13 100 12 476
1 14 100 13 401
1 15 100 14 470
1 16 100 15 542
1 17 100 16 519
1 18 100 17 551
1 19 100 18 1072
1 20 100 19 964
1 21 100 20 726
1 22 100 21 916
1 23 100 22 1409
1 24 100 23 1188
1 25 100 24 1880
1 26 100 25 1197
1 27 100 26 1170
1 28 100 27 1377
1 29 100 28 1442
1 30 100 29 1376
