test_set n r res t
1 10 10 9 3375
1 10 20 9 2087
1 11 20 10 2250
1 12 20 11 2481
1 13 20 12 4265
1 14 20 13 4625
1 15 20 14 4838
1 16 20 15 5381
1 17 20 16 4360
1 18 20 17 3609
1 19 20 18 3782
1 20 20 19 6586
1 10 50 9 3210
1 11 50 10 2237
1 12 50 11 2326
1 13 50 12 4110
1 14 50 13 4905
1 15 50 14 5123
1 16 50 15 5495
1 17 50 16 5368
1 18 50 17 6054
1 19 50 18 6905
1 20 50 19 6470
1 21 50 20 4462
1 22 50 21 4555
1 23 50 22 4629
1 24 50 23 7318
1 25 50 24 4979
1 26 50 25 5617
1 27 50 26 5349
1 28 50 27 8384
1 29 50 28 5642
1 30 50 29 5770
1 10 75 9 3674
1 11 75 10 3349
1 12 75 11 3825
1 13 75 12 4196
1 14 75 13 4129
1 15 75 14 4432
1 16 75 15 4405
1 17 75 16 5388
1 18 75 17 5513
1 19 75 18 3831
1 20 75 19 5263
1 21 75 20 4030
1 22 75 21 4335
1 23 75 22 5565
1 24 75 23 4681
1 25 75 24 4835
1 26 75 25 4769
1 27 75 26 5078
1 28 75 27 5465
1 29 75 28 5453
1 30 75 29 5662
1 10 100 9 1920
1 11 100 10 2252
1 12 100 11 2298
1 13 100 12 2485
1 14 100 13 2683
1 15 100 14 2814
1 16 100 15 3075
1 17 100 16 3259
1 18 100 17 3524
1 19 100 18 3674
1 20 100 19 3853
1 21 100 20 4016
1 22 100 21 4221
1 23 100 22 4358
1 24 100 23 4613
1 25 100 24 4833
1 26 100 25 4868
1 27 100 26 5131
1 28 100 27 5235
1 29 100 28 5412
1 30 100 29 5502
