n r res t
10 10 10 20292
10 20 10 19780
11 20 11 39602
12 20 12 78979
13 20 13 157849
14 20 14 341057
15 20 15 630589
16 20 16 1279853
17 20 17 2853915
18 20 18 6307833
19 20 19 10679520
20 20 20 22090924
10 50 10 19839
11 50 11 47204
12 50 12 78979
13 50 13 157607
14 50 14 315821
15 50 15 636174
16 50 16 1263369
17 50 17 2546741
18 50 18 5132317
19 50 19 11071101
20 50 20 21064650
21 50 21 42482450
22 50 22 82989099
23 50 23 173853438
24 50 24 365156066
25 50 25 672885655
26 50 26 1401376729
27 50 27 2782939169
28 50 28 5602672347
29 50 29 11082484732
30 50 30 22398886286
10 75 10 26289
11 75 11 46125
12 75 12 78709
13 75 13 161134
14 75 14 345140
15 75 15 651772
16 75 16 1276295
17 75 17 2573581
18 75 18 5108005
19 75 19 10402258
20 75 20 21133199
21 75 21 42299962
22 75 22 84269898
23 75 23 177100476
24 75 24 348119276
25 75 25 719185103
26 75 26 1420921949
27 75 27 2831669200
28 75 28 5575352675
29 75 29 11015926696
30 75 30 22280818940
10 100 10 19739
11 100 11 56805
12 100 12 86420
13 100 13 158322
14 100 14 316379
15 100 15 649351
16 100 16 1433265
17 100 17 2531725
18 100 18 5541022
19 100 19 10318287
20 100 20 20494973
21 100 21 41999312
22 100 22 82240904
23 100 23 168620381
24 100 24 342090012
25 100 25 703327675
26 100 26 1360076853
27 100 27 2706994702
28 100 28 5513568967
29 100 29 11167953227
30 100 30 22096155825
10 10 10 19755
10 20 10 19743
11 20 11 39362
12 20 12 79346
13 20 13 157711
14 20 14 315726
15 20 15 644099
16 20 16 1507600
17 20 17 2627487
18 20 18 5950675
19 20 19 10281681
20 20 20 20676286
10 50 10 19989
11 50 11 39674
12 50 12 87685
13 50 13 158204
14 50 14 315706
15 50 15 631504
16 50 16 1270158
17 50 17 2543654
18 50 18 5106151
19 50 19 10395228
20 50 20 21968828
21 50 21 43283322
22 50 22 91716289
23 50 23 171775374
24 50 24 353200924
25 50 25 753985552
26 50 26 1418889412
27 50 27 2781373645
28 50 28 5576706271
29 50 29 11057140192
30 50 30 22356164171
10 75 10 26548
11 75 11 42886
12 75 12 78846
13 75 13 158266
14 75 14 322957
15 75 15 632313
16 75 16 1281168
17 75 17 2813336
18 75 18 7515753
19 75 19 10394784
20 75 20 22997840
21 75 21 43898214
22 75 22 91937526
23 75 23 176248061
24 75 24 381849541
25 75 25 695702408
26 75 26 1360260997
27 75 27 2731289025
28 75 28 5467929691
29 75 29 10857343896
30 75 30 22343298763
10 100 10 19926
11 100 11 39400
12 100 12 102353
13 100 13 189354
14 100 14 316413
15 100 15 699121
16 100 16 1290793
17 100 17 2856111
18 100 18 5419581
19 100 19 14215707
20 100 20 21130459
21 100 21 44199253
22 100 22 93346864
23 100 23 170602637
24 100 24 383487794
25 100 25 699947682
26 100 26 1441325816
27 100 27 2750710766
28 100 28 5621250350
29 100 29 10967617754
30 100 30 21931118283
10 10 10 28711
10 20 10 29560
11 20 11 60327
12 20 12 117377
13 20 13 233748
14 20 14 473486
15 20 15 633180
16 20 16 1287690
17 20 17 2556416
18 20 18 6138639
19 20 19 10164610
20 20 20 22202148
10 50 10 25723
11 50 11 39391
12 50 12 78801
13 50 13 157793
14 50 14 315832
15 50 15 639326
16 50 16 1264655
17 50 17 3060921
18 50 18 5068025
19 50 19 10624651
20 50 20 21975377
21 50 21 42487906
22 50 22 82838899
23 50 23 178953813
24 50 24 358029522
25 50 25 692482992
26 50 26 1371633417
27 50 27 2756449344
28 50 28 5530024942
29 50 29 11215620242
30 50 30 22196987340
10 75 10 19776
11 75 11 39566
12 75 12 78952
13 75 13 163857
14 75 14 320626
15 75 15 683526
16 75 16 1405340
17 75 17 2792340
18 75 18 6197779
19 75 19 10307471
20 75 20 21652901
21 75 21 42095075
22 75 22 86390938
23 75 23 172865362
