n r res t
10 10 10 528
10 20 10 348
11 20 11 635
12 20 12 375
13 20 13 721
14 20 14 383
15 20 15 416
16 20 16 471
17 20 17 779
18 20 18 543
19 20 19 929
20 20 20 581
10 50 10 311
11 50 11 576
12 50 12 356
13 50 13 400
14 50 14 403
15 50 15 440
16 50 16 854
17 50 17 479
18 50 18 916
19 50 19 841
20 50 20 1041
21 50 21 1042
22 50 22 962
23 50 23 1146
24 50 24 1166
25 50 25 1113
26 50 26 1278
27 50 27 1297
28 50 28 1331
29 50 29 1435
30 50 30 1485
10 75 10 313
11 75 11 327
12 75 12 352
13 75 13 395
14 75 14 419
15 75 15 817
16 75 16 836
17 75 17 761
18 75 18 523
19 75 19 924
20 75 20 1024
21 75 21 1037
22 75 22 689
23 75 23 1142
24 75 24 1180
25 75 25 1229
26 75 26 1312
27 75 27 1315
28 75 28 1323
29 75 29 1400
30 75 30 1439
10 100 10 541
11 100 11 574
12 100 12 610
13 100 13 670
14 100 14 688
15 100 15 833
16 100 16 1218
17 100 17 451
18 100 18 957
19 100 19 674
20 100 20 586
21 100 21 1007
22 100 22 987
23 100 23 1174
24 100 24 672
25 100 25 1274
26 100 26 1257
27 100 27 1465
28 100 28 879
29 100 29 835
30 100 30 878
10 10 10 545
10 20 10 314
11 20 11 315
12 20 12 333
13 20 13 601
14 20 14 464
15 20 15 428
16 20 16 458
17 20 17 571
18 20 18 529
19 20 19 540
20 20 20 578
10 50 10 289
11 50 11 320
12 50 12 403
13 50 13 403
14 50 14 410
15 50 15 439
16 50 16 459
17 50 17 533
18 50 18 517
19 50 19 576
20 50 20 547
21 50 21 610
22 50 22 672
23 50 23 644
24 50 24 705
25 50 25 888
26 50 26 1004
27 50 27 791
28 50 28 821
29 50 29 853
30 50 30 855
10 75 10 519
11 75 11 504
12 75 12 415
13 75 13 504
14 75 14 667
15 75 15 761
16 75 16 813
17 75 17 812
18 75 18 550
19 75 19 923
20 75 20 950
21 75 21 683
22 75 22 654
23 75 23 695
24 75 24 1264
25 75 25 1196
26 75 26 1310
27 75 27 1394
28 75 28 1310
29 75 29 1356
30 75 30 1448
10 100 10 519
11 100 11 553
12 100 12 632
13 100 13 431
14 100 14 690
15 100 15 729
16 100 16 760
17 100 17 779
18 100 18 580
19 100 19 968
20 100 20 586
21 100 21 1031
22 100 22 1057
23 100 23 1131
24 100 24 1213
25 100 25 1095
26 100 26 793
27 100 27 1326
28 100 28 1244
29 100 29 1335
30 100 30 1648
10 10 10 516
10 20 10 537
11 20 11 536
12 20 12 612
13 20 13 369
14 20 14 744
15 20 15 798
16 20 16 819
17 20 17 874
18 20 18 910
19 20 19 964
20 20 20 1012
10 50 10 330
11 50 11 577
12 50 12 621
13 50 13 651
14 50 14 728
15 50 15 778
16 50 16 811
17 50 17 755
18 50 18 929
19 50 19 519
20 50 20 680
21 50 21 680
22 50 22 724
23 50 23 712
24 50 24 1141
25 50 25 778
26 50 26 719
27 50 27 831
28 50 28 1250
29 50 29 1361
30 50 30 1443
10 75 10 544
11 75 11 432
12 75 12 604
13 75 13 441
14 75 14 626
15 75 15 888
16 75 16 730
17 75 17 659
18 75 18 522
19 75 19 549
20 75 20 594
21 75 21 654
22 75 22 720
23 75 23 691
24 75 24 661
25 75 25 712
26 75 26 720
27 75 27 796
28 75 28 782
29 75 29 786
30 75 30 868
10 100 10 488
11 100 11 374
12 100 12 360
13 100 13 414
14 100 14 463
15 100 15 496
16 100 16 490
17 100 17 503
18 100 18 559
19 100 19 578
20 100 20 585
21 100 21 600
22 100 22 627
23 100 23 672
24 100 24 686
25 100 25 703
26 100 26 770
27 100 27 769
28 100 28 816
29 100 29 829
30 100 30 863
10 10 10 356
