n r res t
10 10 10 1854
10 20 10 1339
11 20 11 1436
12 20 12 1544
13 20 13 1678
14 20 14 1833
15 20 15 1969
16 20 16 2089
17 20 17 1483
18 20 18 2367
19 20 19 2473
20 20 20 2611
10 50 10 1284
11 50 11 1415
12 50 12 1561
13 50 13 1677
14 50 14 1783
15 50 15 1948
16 50 16 2125
17 50 17 2237
18 50 18 2363
19 50 19 2515
20 50 20 2639
21 50 21 2753
22 50 22 2888
23 50 23 2978
24 50 24 3165
25 50 25 3261
26 50 26 3400
27 50 27 3495
28 50 28 3646
29 50 29 3796
30 50 30 3947
10 75 10 1258
11 75 11 1431
12 75 12 1502
13 75 13 1672
14 75 14 1820
15 75 15 1958
16 75 16 2081
17 75 17 2236
18 75 18 2358
19 75 19 2489
20 75 20 2563
21 75 21 2703
22 75 22 2883
23 75 23 3012
24 75 24 3131
25 75 25 3256
26 75 26 3355
27 75 27 3549
28 75 28 3676
29 75 29 3745
30 75 30 3893
10 100 10 1304
11 100 11 1423
12 100 12 1535
13 100 13 1672
14 100 14 1810
15 100 15 1959
16 100 16 2110
17 100 17 2238
18 100 18 2352
19 100 19 1889
20 100 20 2616
21 100 21 2774
22 100 22 2890
23 100 23 2987
24 100 24 3162
25 100 25 3277
26 100 26 3394
27 100 27 3563
28 100 28 3681
29 100 29 2476
30 100 30 3954
10 10 10 1281
10 20 10 1259
11 20 11 1439
12 20 12 1530
13 20 13 1668
14 20 14 1792
15 20 15 1942
16 20 16 2096
17 20 17 2234
18 20 18 2326
19 20 19 2552
20 20 20 2619
10 50 10 1262
11 50 11 1420
12 50 12 1567
13 50 13 838
14 50 14 1008
15 50 15 1949
16 50 16 2080
17 50 17 2187
18 50 18 2353
19 50 19 2500
20 50 20 2647
21 50 21 2742
22 50 22 2875
23 50 23 3053
24 50 24 3100
25 50 25 3218
26 50 26 3406
27 50 27 3509
28 50 28 3678
29 50 29 3792
30 50 30 3931
10 75 10 1307
11 75 11 1411
12 75 12 1533
13 75 13 1701
14 75 14 1799
15 75 15 1952
16 75 16 2097
17 75 17 2217
18 75 18 2389
19 75 19 2502
20 75 20 2622
21 75 21 2765
22 75 22 2886
23 75 23 3001
24 75 24 3118
25 75 25 3256
26 75 26 3453
27 75 27 3543
28 75 28 3711
29 75 29 3817
30 75 30 3940
10 100 10 1296
11 100 11 1426
12 100 12 1542
13 100 13 1682
14 100 14 1790
15 100 15 1933
16 100 16 2109
17 100 17 2261
18 100 18 2358
19 100 19 2491
20 100 20 2613
21 100 21 2750
22 100 22 2357
23 100 23 3034
24 100 24 3143
25 100 25 3300
26 100 26 3367
27 100 27 3614
28 100 28 3646
29 100 29 3767
30 100 30 3966
10 10 10 1288
10 20 10 1294
11 20 11 1484
12 20 12 1558
13 20 13 1677
14 20 14 1823
15 20 15 1929
16 20 16 2093
17 20 17 2317
18 20 18 2378
19 20 19 2550
20 20 20 2573
10 50 10 1277
11 50 11 1428
12 50 12 1537
13 50 13 1671
14 50 14 1821
15 50 15 1943
16 50 16 2132
17 50 17 2227
18 50 18 2368
19 50 19 2483
20 50 20 2625
21 50 21 2748
22 50 22 2866
23 50 23 1533
24 50 24 3224
25 50 25 1956
26 50 26 3407
27 50 27 3566
28 50 28 3739
29 50 29 3857
30 50 30 3919
10 75 10 1296
11 75 11 1396
12 75 12 1550
13 75 13 1737
14 75 14 1857
15 75 15 1949
16 75 16 2083
17 75 17 2218
18 75 18 2373
19 75 19 2493
20 75 20 2622
21 75 21 2919
22 75 22 2896
23 75 23 3009
24 75 24 3133
25 75 25 3287
26 75 26 3415
27 75 27 3596
28 75 28 3701
29 75 29 3839
30 75 30 3877
10 100 10 1288
11 100 11 1491
12 100 12 1550
13 100 13 1654
14 100 14 1794
15 100 15 1937
16 100 16 2112
17 100 17 2241
18 100 18 2353
19 100 19 2491
20 100 20 2158
21 100 21 2743
22 100 22 2959
23 100 23 2928
24 100 24 3129
25 100 25 3314
26 100 26 3418
27 100 27 3551
28 100 28 3677
29 100 29 3705
30 100 30 3952
10 10 10 1312
10 20 10 1299
11 20 11 1440
12 20 12 1528
13 20 13 1701
14 20 14 1782
15 20 15 1957
16 20 16 2107
17 20 17 2193
18 20 18 2376
19 20 19 2483
20 20 20 2607
10 50 10 1284
11 50 11 1427
12 50 12 1549
13 50 13 1694
14 50 14 1809
15 50 15 1942
16 50 16 2095
17 50 17 2227
18 50 18 2345
19 50 19 2495
20 50 20 2604
21 50 21 2765
22 50 22 2862
23 50 23 3041
24 50 24 2223
25 50 25 3295
26 50 26 3400
27 50 27 3548
28 50 28 3343
29 50 29 3826
30 50 30 3960
10 75 10 1293
11 75 11 1425
12 75 12 1546
13 75 13 1693
14 75 14 1805
15 75 15 1931
16 75 16 2116
17 75 17 2260
18 75 18 2370
19 75 19 2507
20 75 20 2601
21 75 21 2772
22 75 22 2856
23 75 23 2996
24 75 24 2893
25 75 25 1709
26 75 26 3465
27 75 27 3544
28 75 28 3658
29 75 29 3796
30 75 30 3974
10 100 10 1284
11 100 11 1448
12 100 12 1555
13 100 13 1659
14 100 14 1805
15 100 15 2021
16 100 16 2094
17 100 17 2227
18 100 18 2374
19 100 19 2466
20 100 20 2645
21 100 21 2751
22 100 22 2880
23 100 23 3031
24 100 24 3122
25 100 25 3578
26 100 26 3410
27 100 27 3706
28 100 28 3643
29 100 29 3771
30 100 30 3961
10 10 10 1285
10 20 10 1271
11 20 11 1499
12 20 12 1625
13 20 13 1672
14 20 14 1785
15 20 15 1962
16 20 16 2167
17 20 17 1595
18 20 18 2336
19 20 19 2511
20 20 20 2634
10 50 10 1248
11 50 11 1404
12 50 12 1580
13 50 13 1677
14 50 14 1819
15 50 15 1933
16 50 16 2090
17 50 17 2214
18 50 18 2343
19 50 19 2548
20 50 20 2621
21 50 21 2771
22 50 22 2883
23 50 23 3011
24 50 24 3146
25 50 25 2894
26 50 26 3397
27 50 27 3572
28 50 28 3679
29 50 29 3817
30 50 30 3940
10 75 10 1270
11 75 11 1458
12 75 12 1541
13 75 13 1685
14 75 14 1805
15 75 15 1944
16 75 16 2111
17 75 17 2293
18 75 18 2344
19 75 19 2466
20 75 20 2605
21 75 21 2710
22 75 22 2860
23 75 23 2983
24 75 24 3116
25 75 25 3244
26 75 26 3415
27 75 27 1835
28 75 28 1857
29 75 29 3777
30 75 30 3935
10 100 10 1262
11 100 11 1412
12 100 12 1538
13 100 13 1667
14 100 14 1794
15 100 15 1950
16 100 16 1280
17 100 17 2202
18 100 18 2357
19 100 19 2495
20 100 20 1571
21 100 21 2745
22 100 22 2894
23 100 23 3014
24 100 24 3139
25 100 25 2329
26 100 26 3383
27 100 27 3548
28 100 28 3664
29 100 29 3833
30 100 30 3941
10 10 10 1248
10 20 10 1264
11 20 11 1399
12 20 12 1542
13 20 13 1667
14 20 14 1778
15 20 15 1919
16 20 16 2068
17 20 17 2240
18 20 18 2356
19 20 19 2481
20 20 20 2592
10 50 10 1268
11 50 11 1381
12 50 12 1546
13 50 13 1694
14 50 14 1802
15 50 15 1946
16 50 16 2080
17 50 17 2198
18 50 18 2392
19 50 19 2462
20 50 20 2637
21 50 21 2746
22 50 22 2876
23 50 23 2990
24 50 24 3177
25 50 25 3280
26 50 26 3417
27 50 27 3533
28 50 28 3710
29 50 29 3818
