n r res t
10 10 10 54373
10 20 10 55347
11 20 11 109470
12 20 12 218909
13 20 13 438814
14 20 14 944777
15 20 15 1778897
16 20 16 3622478
17 20 17 7189514
18 20 18 14193106
19 20 19 15055093
20 20 20 20535964
10 50 10 21166
11 50 11 38387
12 50 12 76177
13 50 13 151335
14 50 14 366574
15 50 15 603314
16 50 16 1315917
17 50 17 2429624
18 50 18 5664603
19 50 19 10859157
20 50 20 20457300
21 50 21 40271096
22 50 22 82880029
23 50 23 190547405
24 50 24 329134933
25 50 25 672705234
26 50 26 1365154539
27 50 27 2731605752
28 50 28 5309737092
29 50 29 10316239733
30 50 30 21330030876
10 75 10 18813
11 75 11 37523
12 75 12 79882
13 75 13 150291
14 75 14 303926
15 75 15 603020
16 75 16 1209872
17 75 17 2423135
18 75 18 4859050
19 75 19 9651132
20 75 20 19492401
21 75 21 38807639
22 75 22 81427471
23 75 23 177161135
24 75 24 331736224
25 75 25 659564168
26 75 26 1346814323
27 75 27 2625211489
28 75 28 5269521866
29 75 29 10672079213
30 75 30 21061637075
10 100 10 20864
11 100 11 37558
12 100 12 84045
13 100 13 178829
14 100 14 303056
15 100 15 629984
16 100 16 1232132
17 100 17 2467517
18 100 18 5019031
19 100 19 10290676
20 100 20 20073735
21 100 21 41216081
22 100 22 82193398
23 100 23 197392290
24 100 24 325398734
25 100 25 646697704
26 100 26 1309965557
27 100 27 2692696239
28 100 28 5308089455
29 100 29 10632166771
30 100 30 21285799738
10 10 10 18793
10 20 10 18853
11 20 11 37687
12 20 12 75684
13 20 13 151766
14 20 14 309045
15 20 15 606293
16 20 16 1247860
17 20 17 2453831
18 20 18 4851482
19 20 19 9768183
20 20 20 19777983
10 50 10 18795
11 50 11 37467
12 50 12 74985
13 50 13 150108
14 50 14 303645
15 50 15 604010
16 50 16 1416442
17 50 17 2503232
18 50 18 4836227
19 50 19 9726292
20 50 20 19584918
21 50 21 39289932
22 50 22 79544313
23 50 23 162679983
24 50 24 320511862
25 50 25 656357425
26 50 26 1379306107
27 50 27 2663468563
28 50 28 5306120951
29 50 29 10403207011
30 50 30 20968177233
10 75 10 18879
11 75 11 37443
12 75 12 74903
13 75 13 154657
14 75 14 343991
15 75 15 754105
16 75 16 1253720
17 75 17 2413384
18 75 18 4892794
19 75 19 9894348
20 75 20 19519149
21 75 21 39396124
22 75 22 84635491
23 75 23 160582922
24 75 24 317111011
25 75 25 641820822
26 75 26 1298476597
27 75 27 2591679565
28 75 28 5348502695
29 75 29 10457043575
30 75 30 20979527366
10 100 10 18801
11 100 11 37497
12 100 12 74965
13 100 13 149973
14 100 14 311003
15 100 15 602673
16 100 16 1929376
17 100 17 3007816
18 100 18 6132199
19 100 19 9717242
20 100 20 21121614
21 100 21 38971397
22 100 22 80450964
23 100 23 159220888
24 100 24 320571485
25 100 25 641114548
26 100 26 1291123612
27 100 27 2593846736
28 100 28 5181244671
29 100 29 10564185192
30 100 30 21010343473
10 10 10 18837
10 20 10 18752
11 20 11 37731
12 20 12 88277
13 20 13 191241
14 20 14 389693
15 20 15 667753
16 20 16 1415890
17 20 17 2456993
18 20 18 4848322
19 20 19 10050589
20 20 20 20206543
10 50 10 22225
11 50 11 37461
12 50 12 74750
13 50 13 150050
14 50 14 303215
15 50 15 602919
16 50 16 1233859
17 50 17 2494202
18 50 18 4857936
19 50 19 9773184
20 50 20 20437550
21 50 21 49866091
22 50 22 84402265
23 50 23 160775717
24 50 24 322747849
25 50 25 687144424
26 50 26 1298593570
27 50 27 2622904519
28 50 28 5345514368
29 50 29 10542618008
30 50 30 21332323544
10 75 10 25427
11 75 11 37465
12 75 12 74999
13 75 13 273267
14 75 14 568047
15 75 15 603262
16 75 16 1207099
17 75 17 2990791
18 75 18 5072782
19 75 19 10202100
20 75 20 20819347
21 75 21 41871117
22 75 22 83043063
23 75 23 172934035
24 75 24 343334460
25 75 25 670413853
26 75 26 1376713220
27 75 27 2601909165
28 75 28 5187948590
29 75 29 10535496636
30 75 30 20870945821
10 100 10 18821
11 100 11 37429
12 100 12 74793
13 100 13 150164
14 100 14 303188
15 100 15 602663
16 100 16 1277917
17 100 17 2427387
18 100 18 4842644
19 100 19 9703734
20 100 20 19364279
21 100 21 38748305
22 100 22 77593143
23 100 23 155538555
24 100 24 323615166
25 100 25 647732317
26 100 26 1284178996
27 100 27 2606612283
28 100 28 5261438952
29 100 29 10158626982
30 100 30 20135972222
10 10 10 18809
10 20 10 18836
11 20 11 37483
12 20 12 75025
13 20 13 152944
14 20 14 303216
15 20 15 603155
16 20 16 1211696
17 20 17 2410829
18 20 18 4854431
19 20 19 9662407
20 20 20 19348243
10 50 10 18758
11 50 11 37526
12 50 12 74905
13 50 13 168046
14 50 14 334816
15 50 15 610291
16 50 16 1214968
17 50 17 2412347
18 50 18 4828138
19 50 19 9736184
20 50 20 19368408
21 50 21 38720952
22 50 22 77960966
23 50 23 155275123
24 50 24 310866702
25 50 25 643111625
26 50 26 1251322840
27 50 27 2513847565
28 50 28 5040551443
29 50 29 10065481236
30 50 30 20164500885
10 75 10 18733
11 75 11 37577
12 75 12 74838
13 75 13 149846
14 75 14 303214
15 75 15 602722
16 75 16 1209006
17 75 17 2416084
18 75 18 4836409
19 75 19 9734632
20 75 20 19405317
21 75 21 38858743
22 75 22 77893848
23 75 23 157931844
24 75 24 318984022
25 75 25 626759955
26 75 26 1285856047
27 75 27 2535232229
28 75 28 5002779970
29 75 29 10091537113
30 75 30 19872576162
10 100 10 18782
11 100 11 37473
12 100 12 74889
13 100 13 149955
14 100 14 303034
15 100 15 602546
16 100 16 1207730
17 100 17 2414322
18 100 18 4823327
19 100 19 9669119
20 100 20 19311971
21 100 21 38630949
22 100 22 77281563
23 100 23 154818224
24 100 24 310500092
25 100 25 618130608
26 100 26 1236666495
27 100 27 2481102772
28 100 28 4968772957
29 100 29 9909187373
30 100 30 19840344413
10 10 10 18781
10 20 10 18791
11 20 11 37430
12 20 12 74901
13 20 13 149833
14 20 14 303028
15 20 15 602790
16 20 16 1205804
17 20 17 2425278
18 20 18 4846788
19 20 19 9638091
20 20 20 19323078
10 50 10 18714
11 50 11 45295
12 50 12 79903
13 50 13 154670
14 50 14 307392
15 50 15 609183
16 50 16 1210379
17 50 17 2444477
18 50 18 4835471
19 50 19 9644835
20 50 20 19345449
21 50 21 39808258
22 50 22 78140546
23 50 23 154764305
24 50 24 309272480
25 50 25 618157402
26 50 26 1237882242
27 50 27 2506229110
28 50 28 4952242573
29 50 29 9929597050
30 50 30 19850609717
10 75 10 18758
11 75 11 37527
12 75 12 74936
13 75 13 149911
14 75 14 302930
15 75 15 605013
16 75 16 1209287
17 75 17 2410120
18 75 18 4821221
19 75 19 9643841
20 75 20 19305193
21 75 21 38581170
22 75 22 77157961
23 75 23 154647894
24 75 24 309637680
25 75 25 630963748
26 75 26 1239652024
27 75 27 2481383376
28 75 28 4977171427
29 75 29 9943254645
30 75 30 19841846482
10 100 10 18787
11 100 11 37556
12 100 12 74818
13 100 13 153303
14 100 14 303106
15 100 15 602568
16 100 16 1205954
17 100 17 2411920
18 100 18 4819499
19 100 19 9637701
20 100 20 19278587
21 100 21 38557021
22 100 22 77151805
23 100 23 154674350
24 100 24 308748513
25 100 25 618922344
26 100 26 1236323035
27 100 27 2471008669
28 100 28 4948471136
29 100 29 9896574328
30 100 30 19795222964
10 10 10 18825
10 20 10 19890
11 20 11 38188
12 20 12 76245
13 20 13 151201
14 20 14 302970
15 20 15 602957
16 20 16 1206054
17 20 17 2410871
18 20 18 4823901
19 20 19 9638958
20 20 20 19284571
10 50 10 18764
11 50 11 47436
12 50 12 75884
13 50 13 151811
14 50 14 304026
15 50 15 608191
16 50 16 1207069
17 50 17 2414770
18 50 18 4820860
19 50 19 9644036
20 50 20 19279673
21 50 21 38566545
22 50 22 77151158
23 50 23 154715398
24 50 24 309182022
25 50 25 620842938
26 50 26 1244543408
27 50 27 2495337111
28 50 28 4960939550
29 50 29 9919911798
30 50 30 19776343924
10 75 10 18786
11 75 11 37466
12 75 12 74833
13 75 13 149874
14 75 14 302966
15 75 15 602858
16 75 16 1205813
17 75 17 2412702
18 75 18 4819491
19 75 19 9638986
20 75 20 19271842
21 75 21 38544303
22 75 22 77117635
23 75 23 154256280
24 75 24 308565727
25 75 25 621414938
26 75 26 1234832460
27 75 27 2469431138
28 75 28 4938387348
29 75 29 9880177341
30 75 30 19762496771
10 100 10 18792
11 100 11 37433
12 100 12 74756
13 100 13 149815
14 100 14 303020
15 100 15 602611
16 100 16 1206092
17 100 17 2408465
18 100 18 4819118
19 100 19 9637826
